GeneID	HZHBG	HZHBB	HZHBC	HZHBH	HZHBN	HZHBO
jgi.p|Suilu4|100001	0	0	0	0	0	0
jgi.p|Suilu4|100059	0	0	0	0	0	0
jgi.p|Suilu4|10006	0	0	0	0	0	0
jgi.p|Suilu4|100080	0	0	0	0	0	0
jgi.p|Suilu4|100092	0	0	0	0	0	0
jgi.p|Suilu4|100098	0	0	0	0	0	0
jgi.p|Suilu4|10017	843	1764	1103	1493	1582	1696
jgi.p|Suilu4|100207	0	0	0	0	0	0
jgi.p|Suilu4|100215	0	0	0	0	0	0
jgi.p|Suilu4|100219	0	0	0	0	0	0
jgi.p|Suilu4|100256	0	0	0	0	0	0
jgi.p|Suilu4|100311	0	0	0	0	0	0
jgi.p|Suilu4|100326	0	0	0	0	0	0
jgi.p|Suilu4|100355	0	0	0	0	0	0
jgi.p|Suilu4|100445	0	0	0	0	0	0
jgi.p|Suilu4|100465	0	0	0	0	0	0
jgi.p|Suilu4|100491	0	0	0	0	0	0
jgi.p|Suilu4|100526	0	0	0	0	1	0
jgi.p|Suilu4|100527	0	0	0	0	0	0
jgi.p|Suilu4|100549	0	0	0	0	0	0
jgi.p|Suilu4|100590	0	0	0	0	0	0
jgi.p|Suilu4|100593	0	0	0	0	0	0
jgi.p|Suilu4|100608	0	0	0	0	0	0
jgi.p|Suilu4|100628	0	0	0	0	0	0
jgi.p|Suilu4|100630	0	0	0	0	0	0
jgi.p|Suilu4|100692	0	0	0	0	0	0
jgi.p|Suilu4|100700	0	0	0	0	0	0
jgi.p|Suilu4|100723	0	0	0	0	0	0
jgi.p|Suilu4|100731	0	0	0	0	0	0
jgi.p|Suilu4|100753	0	0	0	0	0	0
jgi.p|Suilu4|100839	0	0	0	0	0	0
jgi.p|Suilu4|100867	0	0	0	0	0	0
jgi.p|Suilu4|100871	0	0	0	0	0	0
jgi.p|Suilu4|100924	0	0	0	0	0	0
jgi.p|Suilu4|100937	0	0	0	0	0	0
jgi.p|Suilu4|10094	1081	1050	744	990	875	792
jgi.p|Suilu4|101025	0	0	0	0	0	0
jgi.p|Suilu4|101036	859	445	356	416	387	478
jgi.p|Suilu4|101052	0	0	0	0	0	0
jgi.p|Suilu4|101126	0	0	0	0	0	0
jgi.p|Suilu4|101193	8	0	3	2	4	5
jgi.p|Suilu4|101201	0	0	0	0	0	0
jgi.p|Suilu4|1013261	233	413	448	1178	1002	972
jgi.p|Suilu4|101339	0	0	0	0	0	0
jgi.p|Suilu4|101424	0	0	0	0	0	0
jgi.p|Suilu4|1014298	548	848	661	1055	893	986
jgi.p|Suilu4|101548	0	0	0	0	0	0
jgi.p|Suilu4|101628	0	0	0	0	0	0
jgi.p|Suilu4|101643	0	0	0	0	0	0
jgi.p|Suilu4|101649	0	0	0	0	0	0
jgi.p|Suilu4|101659	0	0	0	0	0	0
jgi.p|Suilu4|101701	25	18	26	54	54	51
jgi.p|Suilu4|101793	0	0	0	0	0	0
jgi.p|Suilu4|101794	0	0	0	0	0	0
jgi.p|Suilu4|101886	0	0	0	0	0	0
jgi.p|Suilu4|101949	0	0	0	0	0	0
jgi.p|Suilu4|102007	0	0	0	0	0	0
jgi.p|Suilu4|102008	0	0	0	0	0	0
jgi.p|Suilu4|102029	0	0	0	0	0	0
jgi.p|Suilu4|102032	0	0	0	0	0	0
jgi.p|Suilu4|102126	0	0	0	0	0	0
jgi.p|Suilu4|102163	0	0	0	0	0	0
jgi.p|Suilu4|102187	0	0	0	0	0	0
jgi.p|Suilu4|102203	0	0	0	0	0	0
jgi.p|Suilu4|102208	0	0	0	0	0	0
jgi.p|Suilu4|102214	0	0	0	0	0	0
jgi.p|Suilu4|102246	0	0	0	0	0	0
jgi.p|Suilu4|102253	0	0	0	0	0	0
jgi.p|Suilu4|102284	0	0	0	0	0	0
jgi.p|Suilu4|102290	0	0	0	0	0	0
jgi.p|Suilu4|102301	0	0	0	0	0	0
jgi.p|Suilu4|102302	0	0	0	0	0	0
jgi.p|Suilu4|102312	0	0	0	0	0	0
jgi.p|Suilu4|102325	0	0	0	0	0	0
jgi.p|Suilu4|102361	0	0	0	0	0	0
jgi.p|Suilu4|102366	0	0	0	0	0	0
jgi.p|Suilu4|102388	2268	1002	799	764	864	1095
jgi.p|Suilu4|102475	0	0	0	0	0	0
jgi.p|Suilu4|102502	0	0	0	0	0	0
jgi.p|Suilu4|10256	4350	1692	1387	2477	2097	2062
jgi.p|Suilu4|102646	0	1	0	0	0	0
jgi.p|Suilu4|102671	0	0	0	0	0	0
jgi.p|Suilu4|102711	0	0	0	0	0	0
jgi.p|Suilu4|102719	0	0	0	0	0	0
jgi.p|Suilu4|1027956	202	188	151	432	380	494
jgi.p|Suilu4|102810	0	0	0	0	0	0
jgi.p|Suilu4|102842	0	0	0	0	0	0
jgi.p|Suilu4|102844	0	0	0	0	0	0
jgi.p|Suilu4|102856	0	0	0	0	0	0
jgi.p|Suilu4|102857	0	0	0	0	0	0
jgi.p|Suilu4|102900	0	0	0	0	0	0
jgi.p|Suilu4|102909	0	0	0	0	0	0
jgi.p|Suilu4|10291	4620	3958	3068	6537	5915	5810
jgi.p|Suilu4|102955	0	0	0	0	0	0
jgi.p|Suilu4|102961	204	145	266	355	378	377
jgi.p|Suilu4|103044	0	0	0	0	0	0
jgi.p|Suilu4|103067	0	0	0	0	0	0
jgi.p|Suilu4|103091	0	0	0	0	0	0
jgi.p|Suilu4|103203	49	26	25	42	38	28
jgi.p|Suilu4|103567	97	270	194	355	260	327
jgi.p|Suilu4|1037566	20	20	6	55	53	58
jgi.p|Suilu4|1037686	320	122	73	138	150	174
jgi.p|Suilu4|103942	7	2	5	14	11	3
jgi.p|Suilu4|103945	2912	523	464	985	773	831
jgi.p|Suilu4|1040254	372	993	519	540	336	303
jgi.p|Suilu4|104073	19	11	7	21	19	21
jgi.p|Suilu4|1042247	273	211	185	379	414	405
jgi.p|Suilu4|1042476	232	295	248	563	465	476
jgi.p|Suilu4|1042538	469	179	166	420	477	429
jgi.p|Suilu4|1045175	0	0	0	0	0	0
jgi.p|Suilu4|10464	0	0	0	0	0	0
jgi.p|Suilu4|10465	0	0	0	0	0	0
jgi.p|Suilu4|10467	4955	4114	3535	5442	4938	5430
jgi.p|Suilu4|10512	42	19	14	58	71	91
jgi.p|Suilu4|10513	800	506	514	1062	935	1072
jgi.p|Suilu4|105173	0	0	0	0	0	0
jgi.p|Suilu4|1052116	55	53	34	58	33	59
jgi.p|Suilu4|105246	385	328	256	614	546	606
jgi.p|Suilu4|10527	342	246	156	189	143	140
jgi.p|Suilu4|1053200	1	4	5	0	1	0
jgi.p|Suilu4|1053227	49	68	32	7	5	12
jgi.p|Suilu4|105613	6	0	3	1	1	1
jgi.p|Suilu4|105623	0	0	0	0	0	0
jgi.p|Suilu4|105684	0	0	0	0	0	0
jgi.p|Suilu4|1057307	588	558	598	1245	1248	1515
jgi.p|Suilu4|10576	50	52	21	57	65	70
jgi.p|Suilu4|105799	579	289	344	907	746	1028
jgi.p|Suilu4|105932	469	1453	1817	1180	1218	1198
jgi.p|Suilu4|106127	18	10	8	30	39	61
jgi.p|Suilu4|1062004	0	0	0	0	0	0
jgi.p|Suilu4|106246	0	0	0	0	0	0
jgi.p|Suilu4|106313	13	1	0	0	0	0
jgi.p|Suilu4|1063432	1618	392	333	397	478	483
jgi.p|Suilu4|10638	0	0	0	0	0	0
jgi.p|Suilu4|10639	0	0	0	0	0	0
jgi.p|Suilu4|106419	237	594	535	334	243	257
jgi.p|Suilu4|10642	0	0	0	0	0	0
jgi.p|Suilu4|106420	52	115	63	94	101	64
jgi.p|Suilu4|106445	686	950	669	435	274	348
jgi.p|Suilu4|106512	366	238	248	502	423	416
jgi.p|Suilu4|106594	84	129	85	9	11	3
jgi.p|Suilu4|1066669	395	350	341	608	527	585
jgi.p|Suilu4|10667	1042	1365	1119	1531	1477	1411
jgi.p|Suilu4|106848	0	0	0	0	0	0
jgi.p|Suilu4|107023	1891	711	613	1245	859	1029
jgi.p|Suilu4|107028	139	12	12	62	26	18
jgi.p|Suilu4|1070409	0	0	0	0	0	0
jgi.p|Suilu4|10711	897	1304	1351	2303	1967	2538
jgi.p|Suilu4|10712	153	203	227	413	371	382
jgi.p|Suilu4|1073756	2100	1348	1604	2568	2389	2719
jgi.p|Suilu4|1074661	50	15	27	31	39	38
jgi.p|Suilu4|1074667	360	251	221	438	437	469
jgi.p|Suilu4|1075213	8	23	15	8	9	32
jgi.p|Suilu4|10757	258	567	569	1285	1211	1243
jgi.p|Suilu4|107603	0	0	0	0	0	0
jgi.p|Suilu4|107633	3	5	2	2	2	3
jgi.p|Suilu4|107703	97	232	107	103	35	42
jgi.p|Suilu4|107719	0	0	0	0	0	0
jgi.p|Suilu4|107730	1123	570	533	1177	1057	1222
jgi.p|Suilu4|1077578	6	13	10	19	9	11
jgi.p|Suilu4|107813	0	0	0	0	0	0
jgi.p|Suilu4|107840	0	0	0	0	0	0
jgi.p|Suilu4|107841	0	0	0	0	0	0
jgi.p|Suilu4|107948	0	0	0	0	0	0
jgi.p|Suilu4|107949	0	0	0	0	0	0
jgi.p|Suilu4|107951	0	0	0	0	0	0
jgi.p|Suilu4|108059	216	275	146	150	142	108
jgi.p|Suilu4|10847	702	650	636	1251	1067	1240
jgi.p|Suilu4|108488	0	0	0	0	0	0
jgi.p|Suilu4|108502	0	0	0	0	0	0
jgi.p|Suilu4|10854	409	572	364	1010	1020	1466
jgi.p|Suilu4|108553	433	120	72	106	109	100
jgi.p|Suilu4|108622	0	0	0	0	0	0
jgi.p|Suilu4|10863	162	83	37	152	152	186
jgi.p|Suilu4|108648	114	168	129	439	410	560
jgi.p|Suilu4|108662	0	0	0	0	0	0
jgi.p|Suilu4|108667	0	0	0	0	0	0
jgi.p|Suilu4|108689	0	0	0	0	0	0
jgi.p|Suilu4|1087133	53	42	60	39	32	38
jgi.p|Suilu4|10873	402	368	342	892	792	937
jgi.p|Suilu4|1087995	52	149	148	231	109	145
jgi.p|Suilu4|1088222	13	24	25	43	32	38
jgi.p|Suilu4|1088397	8	21	12	35	21	30
jgi.p|Suilu4|108927	0	0	0	0	0	0
jgi.p|Suilu4|108995	0	0	0	0	0	0
jgi.p|Suilu4|108996	0	0	0	0	0	0
jgi.p|Suilu4|108997	0	0	0	0	0	0
jgi.p|Suilu4|109000	0	0	0	0	0	0
jgi.p|Suilu4|109084	0	0	0	0	0	0
jgi.p|Suilu4|109090	0	0	0	0	0	0
jgi.p|Suilu4|1090955	0	0	0	0	0	0
jgi.p|Suilu4|1091014	0	0	0	0	0	0
jgi.p|Suilu4|109170	0	0	0	0	0	0
jgi.p|Suilu4|109171	0	0	0	0	0	0
jgi.p|Suilu4|109194	18	5	8	15	32	17
jgi.p|Suilu4|109226	0	0	0	0	0	0
jgi.p|Suilu4|1092383	22	7	11	30	29	24
jgi.p|Suilu4|109249	134	15	9	9	9	5
jgi.p|Suilu4|109297	0	0	0	0	0	0
jgi.p|Suilu4|109299	0	0	0	0	0	0
jgi.p|Suilu4|109328	0	0	0	0	0	0
jgi.p|Suilu4|1093361	179	192	240	346	388	341
jgi.p|Suilu4|109403	0	0	0	0	0	0
jgi.p|Suilu4|109435	0	0	0	0	0	0
jgi.p|Suilu4|109460	2	10	11	1	0	0
jgi.p|Suilu4|109475	0	0	0	0	0	0
jgi.p|Suilu4|109516	0	0	0	0	0	0
jgi.p|Suilu4|109581	0	0	0	0	0	0
jgi.p|Suilu4|1097602	8358	3162	3135	4979	4580	4751
jgi.p|Suilu4|10982	426	160	147	383	362	411
jgi.p|Suilu4|109859	0	0	0	0	0	0
jgi.p|Suilu4|110014	0	0	0	0	0	0
jgi.p|Suilu4|110062	0	0	0	0	0	0
jgi.p|Suilu4|11009	418	295	334	566	484	436
jgi.p|Suilu4|110122	0	0	0	0	0	0
jgi.p|Suilu4|11019	43	17	18	35	21	18
jgi.p|Suilu4|110195	0	0	0	0	0	0
jgi.p|Suilu4|110198	0	0	0	0	0	0
jgi.p|Suilu4|110289	0	0	0	0	0	0
jgi.p|Suilu4|110405	128	41	40	84	81	64
jgi.p|Suilu4|110412	0	0	0	0	0	0
jgi.p|Suilu4|110421	0	0	0	0	0	0
jgi.p|Suilu4|110422	0	0	0	0	0	0
jgi.p|Suilu4|1104796	33	63	67	107	106	85
jgi.p|Suilu4|110494	0	0	0	0	0	0
jgi.p|Suilu4|1105188	0	0	0	0	0	0
jgi.p|Suilu4|1105231	72	57	48	146	135	141
jgi.p|Suilu4|110535	0	0	0	0	0	0
jgi.p|Suilu4|110568	0	0	0	0	0	0
jgi.p|Suilu4|110580	3	0	1	1	0	2
jgi.p|Suilu4|110587	0	0	0	0	0	0
jgi.p|Suilu4|110608	0	0	0	0	0	0
jgi.p|Suilu4|110630	0	0	0	0	0	0
jgi.p|Suilu4|110674	0	0	0	0	0	0
jgi.p|Suilu4|110686	0	0	0	0	0	0
jgi.p|Suilu4|110703	0	0	0	0	0	0
