GeneID	HZHBY	HZHBZ	HZHCA	HZHCB	HZHCC
jgi.p|Suilu4|100001	0	0	0	0	0
jgi.p|Suilu4|100059	0	0	0	0	0
jgi.p|Suilu4|10006	0	0	0	0	0
jgi.p|Suilu4|100080	0	0	0	0	0
jgi.p|Suilu4|100092	0	0	0	0	0
jgi.p|Suilu4|100098	0	0	0	0	0
jgi.p|Suilu4|10017	4073	7706	3402	1384	774
jgi.p|Suilu4|100207	0	0	0	0	0
jgi.p|Suilu4|100215	0	0	0	0	0
jgi.p|Suilu4|100219	0	0	0	0	0
jgi.p|Suilu4|100256	0	0	0	0	0
jgi.p|Suilu4|100311	0	0	0	0	0
jgi.p|Suilu4|100326	0	0	0	0	0
jgi.p|Suilu4|100355	0	0	0	0	0
jgi.p|Suilu4|100445	0	0	0	0	0
jgi.p|Suilu4|100465	0	0	0	0	0
jgi.p|Suilu4|100491	0	0	0	0	0
jgi.p|Suilu4|100526	2	0	2	0	0
jgi.p|Suilu4|100527	0	0	0	0	0
jgi.p|Suilu4|100549	0	0	0	0	0
jgi.p|Suilu4|100590	0	0	0	0	0
jgi.p|Suilu4|100593	0	0	0	0	0
jgi.p|Suilu4|100608	0	0	0	0	0
jgi.p|Suilu4|100628	0	0	0	0	0
jgi.p|Suilu4|100630	0	0	0	0	0
jgi.p|Suilu4|100692	0	0	0	0	0
jgi.p|Suilu4|100700	0	0	0	0	0
jgi.p|Suilu4|100723	0	1	0	0	0
jgi.p|Suilu4|100731	0	0	0	0	0
jgi.p|Suilu4|100753	0	0	0	0	0
jgi.p|Suilu4|100839	0	0	0	0	0
jgi.p|Suilu4|100867	0	0	0	0	0
jgi.p|Suilu4|100871	0	0	0	0	0
jgi.p|Suilu4|100924	0	0	0	0	0
jgi.p|Suilu4|100937	0	0	0	0	0
jgi.p|Suilu4|10094	863	1321	557	550	446
jgi.p|Suilu4|101025	0	0	0	0	0
jgi.p|Suilu4|101036	79	173	105	118	127
jgi.p|Suilu4|101052	0	0	0	0	0
jgi.p|Suilu4|101126	0	0	0	0	0
jgi.p|Suilu4|101193	0	0	0	0	0
jgi.p|Suilu4|101201	0	0	0	0	0
jgi.p|Suilu4|1013261	464	852	379	2060	1921
jgi.p|Suilu4|101339	0	0	0	0	0
jgi.p|Suilu4|101424	0	0	0	0	0
jgi.p|Suilu4|1014298	476	870	346	386	303
jgi.p|Suilu4|101548	0	0	0	0	0
jgi.p|Suilu4|101628	0	0	0	0	0
jgi.p|Suilu4|101643	0	0	0	0	0
jgi.p|Suilu4|101649	0	0	0	0	0
jgi.p|Suilu4|101659	0	0	0	0	0
jgi.p|Suilu4|101701	0	0	0	0	0
jgi.p|Suilu4|101793	0	0	0	0	0
jgi.p|Suilu4|101794	0	0	0	0	0
jgi.p|Suilu4|101886	0	0	0	0	0
jgi.p|Suilu4|101949	0	0	0	0	0
jgi.p|Suilu4|102007	0	0	0	0	0
jgi.p|Suilu4|102008	0	1	0	1	0
jgi.p|Suilu4|102029	0	0	0	0	0
jgi.p|Suilu4|102032	0	0	0	0	0
jgi.p|Suilu4|102126	0	0	0	0	0
jgi.p|Suilu4|102163	0	0	0	0	0
jgi.p|Suilu4|102187	0	0	0	0	0
jgi.p|Suilu4|102203	0	0	0	0	0
jgi.p|Suilu4|102208	0	0	0	0	0
jgi.p|Suilu4|102214	0	0	0	0	0
jgi.p|Suilu4|102246	0	0	0	0	0
jgi.p|Suilu4|102253	0	0	0	0	0
jgi.p|Suilu4|102284	0	0	0	0	0
jgi.p|Suilu4|102290	0	0	0	0	0
jgi.p|Suilu4|102301	0	0	0	0	0
jgi.p|Suilu4|102302	0	0	0	0	0
jgi.p|Suilu4|102312	0	0	0	0	0
jgi.p|Suilu4|102325	0	0	0	0	0
jgi.p|Suilu4|102361	0	0	0	0	0
jgi.p|Suilu4|102366	0	0	0	0	0
jgi.p|Suilu4|102388	139	289	133	212	121
jgi.p|Suilu4|102475	0	0	0	0	0
jgi.p|Suilu4|102502	0	0	0	0	0
jgi.p|Suilu4|10256	1562	2349	951	1343	964
jgi.p|Suilu4|102646	0	0	0	0	0
jgi.p|Suilu4|102671	0	0	0	0	0
jgi.p|Suilu4|102711	0	0	0	0	0
jgi.p|Suilu4|102719	0	0	0	0	0
jgi.p|Suilu4|1027956	280	405	315	431	373
jgi.p|Suilu4|102810	68	96	65	73	46
jgi.p|Suilu4|102842	0	0	0	0	0
jgi.p|Suilu4|102844	0	0	0	0	0
jgi.p|Suilu4|102856	0	0	0	0	0
jgi.p|Suilu4|102857	0	0	0	0	0
jgi.p|Suilu4|102900	0	0	0	0	0
jgi.p|Suilu4|102909	0	0	0	0	0
jgi.p|Suilu4|10291	4222	6813	3574	4151	3506
jgi.p|Suilu4|102955	0	0	0	0	0
jgi.p|Suilu4|102961	225	416	225	529	572
jgi.p|Suilu4|103044	0	0	0	0	0
jgi.p|Suilu4|103067	0	0	0	0	0
jgi.p|Suilu4|103091	0	0	0	0	0
jgi.p|Suilu4|103203	112	161	100	52	31
jgi.p|Suilu4|103567	261	449	264	612	386
jgi.p|Suilu4|1037566	7	7	1	5	7
jgi.p|Suilu4|1037686	136	193	173	223	172
jgi.p|Suilu4|103942	81	132	92	75	50
jgi.p|Suilu4|103945	88	109	55	55	52
jgi.p|Suilu4|1040254	696	1004	523	939	635
jgi.p|Suilu4|104073	14	39	13	10	4
jgi.p|Suilu4|1042247	130	222	134	142	113
jgi.p|Suilu4|1042476	116	237	169	111	105
jgi.p|Suilu4|1042538	123	190	112	511	372
jgi.p|Suilu4|1045175	103	124	19	59	47
jgi.p|Suilu4|10464	0	0	0	0	0
jgi.p|Suilu4|10465	0	0	0	0	0
jgi.p|Suilu4|10467	3087	4489	3268	4603	3734
jgi.p|Suilu4|10512	83	158	115	133	140
jgi.p|Suilu4|10513	426	706	425	673	522
jgi.p|Suilu4|105173	0	0	0	0	0
jgi.p|Suilu4|1052116	29	99	65	25	35
jgi.p|Suilu4|105246	353	601	293	368	361
jgi.p|Suilu4|10527	105	180	95	88	88
jgi.p|Suilu4|1053200	12	17	11	0	4
jgi.p|Suilu4|1053227	65	71	26	44	58
jgi.p|Suilu4|105613	0	0	0	0	0
jgi.p|Suilu4|105623	0	0	0	0	0
jgi.p|Suilu4|105684	0	0	0	0	0
jgi.p|Suilu4|1057307	648	1021	732	680	613
jgi.p|Suilu4|10576	57	72	51	47	57
jgi.p|Suilu4|105799	275	500	276	495	422
jgi.p|Suilu4|105932	346	546	343	403	343
jgi.p|Suilu4|106127	30	62	57	64	49
jgi.p|Suilu4|1062004	0	0	0	0	0
jgi.p|Suilu4|106246	0	0	0	0	0
jgi.p|Suilu4|106313	0	0	0	0	0
jgi.p|Suilu4|1063432	448	789	468	212	236
jgi.p|Suilu4|10638	0	0	0	0	0
jgi.p|Suilu4|10639	0	0	0	0	0
jgi.p|Suilu4|106419	391	537	283	472	320
jgi.p|Suilu4|10642	0	0	0	0	0
jgi.p|Suilu4|106420	137	271	215	279	308
jgi.p|Suilu4|106445	921	1307	595	556	502
jgi.p|Suilu4|106512	136	232	161	276	212
jgi.p|Suilu4|106594	23	27	6	33	21
jgi.p|Suilu4|1066669	417	726	411	462	431
jgi.p|Suilu4|10667	1234	2267	1251	1952	1537
jgi.p|Suilu4|106848	0	0	0	0	0
jgi.p|Suilu4|107023	361	550	254	572	447
jgi.p|Suilu4|107028	31	41	18	44	25
jgi.p|Suilu4|1070409	0	0	0	1	0
jgi.p|Suilu4|10711	1468	2633	1399	1957	1547
jgi.p|Suilu4|10712	523	833	385	703	566
jgi.p|Suilu4|1073756	1525	2567	1713	1039	920
jgi.p|Suilu4|1074661	791	1282	769	460	350
jgi.p|Suilu4|1074667	1	4	3	2	4
jgi.p|Suilu4|1075213	0	0	0	0	0
