GeneID	HZHCG	HZHCH	HZHCN	HZHCO	HZHCP
jgi.p|Suilu4|100001	0	0	0	0	0
jgi.p|Suilu4|100059	0	0	0	0	0
jgi.p|Suilu4|10006	0	0	6	0	0
jgi.p|Suilu4|100080	0	0	0	0	0
jgi.p|Suilu4|100092	1078	737	4417	2247	7732
jgi.p|Suilu4|100098	0	0	0	0	0
jgi.p|Suilu4|10017	354	259	1357	194	715
jgi.p|Suilu4|100207	0	0	0	0	0
jgi.p|Suilu4|100215	0	0	0	0	0
jgi.p|Suilu4|100219	0	0	0	0	0
jgi.p|Suilu4|100256	0	0	0	0	0
jgi.p|Suilu4|100311	0	0	0	0	0
jgi.p|Suilu4|100326	0	0	0	0	0
jgi.p|Suilu4|100355	0	0	0	0	0
jgi.p|Suilu4|100445	0	0	0	0	0
jgi.p|Suilu4|100465	0	0	0	0	0
jgi.p|Suilu4|100491	0	0	0	0	0
jgi.p|Suilu4|100526	336	215	1387	671	2163
jgi.p|Suilu4|100527	0	1	0	0	0
jgi.p|Suilu4|100549	0	0	0	0	0
jgi.p|Suilu4|100590	0	0	0	0	0
jgi.p|Suilu4|100593	2	0	2	0	0
jgi.p|Suilu4|100608	0	0	1	0	0
jgi.p|Suilu4|100628	0	0	0	0	0
jgi.p|Suilu4|100630	0	0	0	0	0
jgi.p|Suilu4|100692	0	0	0	0	0
jgi.p|Suilu4|100700	0	0	0	0	0
jgi.p|Suilu4|100723	0	0	0	0	0
jgi.p|Suilu4|100731	0	0	0	0	0
jgi.p|Suilu4|100753	0	0	0	0	0
jgi.p|Suilu4|100839	0	0	0	0	0
jgi.p|Suilu4|100867	0	0	0	0	0
jgi.p|Suilu4|100871	0	0	0	0	0
jgi.p|Suilu4|100924	0	0	0	0	0
jgi.p|Suilu4|100937	0	0	0	0	0
jgi.p|Suilu4|10094	268	185	793	416	1156
jgi.p|Suilu4|101025	0	0	0	0	0
jgi.p|Suilu4|101036	472	279	2061	372	1157
jgi.p|Suilu4|101052	0	0	0	0	0
jgi.p|Suilu4|101126	0	0	0	0	0
jgi.p|Suilu4|101193	28	18	76	29	130
jgi.p|Suilu4|101201	88	62	298	93	392
jgi.p|Suilu4|1013261	592	358	1682	617	2693
jgi.p|Suilu4|101339	0	0	0	0	0
jgi.p|Suilu4|101424	0	0	0	0	0
jgi.p|Suilu4|1014298	1105	740	3994	718	1877
jgi.p|Suilu4|101548	0	0	0	0	0
jgi.p|Suilu4|101628	0	0	0	0	0
jgi.p|Suilu4|101643	4	0	4	0	0
jgi.p|Suilu4|101649	0	0	0	0	0
jgi.p|Suilu4|101659	0	0	0	0	0
jgi.p|Suilu4|101701	0	0	0	0	1
jgi.p|Suilu4|101793	0	0	0	0	0
jgi.p|Suilu4|101794	0	0	0	0	0
jgi.p|Suilu4|101886	0	0	0	0	0
jgi.p|Suilu4|101949	0	0	0	0	0
jgi.p|Suilu4|102007	0	0	0	0	0
jgi.p|Suilu4|102008	0	0	0	0	0
jgi.p|Suilu4|102029	0	0	0	0	0
jgi.p|Suilu4|102032	0	0	1	0	0
jgi.p|Suilu4|102126	169	94	378	140	362
jgi.p|Suilu4|102163	0	0	0	0	0
jgi.p|Suilu4|102187	0	0	0	0	0
jgi.p|Suilu4|102203	0	0	0	0	0
jgi.p|Suilu4|102208	0	0	0	0	0
jgi.p|Suilu4|102214	0	0	0	0	0
jgi.p|Suilu4|102246	0	0	1	0	0
jgi.p|Suilu4|102253	0	1	0	0	0
jgi.p|Suilu4|102284	0	0	0	0	0
jgi.p|Suilu4|102290	0	0	0	0	0
jgi.p|Suilu4|102301	0	0	0	0	0
jgi.p|Suilu4|102302	0	0	0	0	0
jgi.p|Suilu4|102312	0	0	0	0	0
jgi.p|Suilu4|102325	0	0	0	0	0
jgi.p|Suilu4|102361	0	0	0	0	0
jgi.p|Suilu4|102366	0	0	2	0	0
jgi.p|Suilu4|102388	910	747	3005	539	2079
jgi.p|Suilu4|102475	0	0	0	0	0
jgi.p|Suilu4|102502	0	0	0	0	0
jgi.p|Suilu4|10256	2158	1589	4205	2553	7661
jgi.p|Suilu4|102646	0	0	0	0	0
jgi.p|Suilu4|102671	0	0	0	0	0
jgi.p|Suilu4|102711	0	0	1	0	0
jgi.p|Suilu4|102719	0	0	0	0	0
jgi.p|Suilu4|1027956	21	12	57	4	12
jgi.p|Suilu4|102810	0	0	0	0	0
jgi.p|Suilu4|102842	0	0	0	4	0
jgi.p|Suilu4|102844	0	0	0	0	0
jgi.p|Suilu4|102856	0	0	0	0	0
jgi.p|Suilu4|102857	0	0	0	0	0
jgi.p|Suilu4|102900	0	0	0	0	0
jgi.p|Suilu4|102909	0	0	0	0	0
jgi.p|Suilu4|10291	4476	3031	12929	3308	11468
jgi.p|Suilu4|102955	0	0	0	0	0
jgi.p|Suilu4|102961	463	352	1471	733	2036
jgi.p|Suilu4|103044	0	0	0	0	0
jgi.p|Suilu4|103067	0	0	1	0	0
jgi.p|Suilu4|103091	0	0	0	0	0
jgi.p|Suilu4|103203	19	22	86	18	55
jgi.p|Suilu4|103567	512	299	1699	264	1008
jgi.p|Suilu4|1037566	4	5	23	3	16
jgi.p|Suilu4|1037686	104	57	223	48	152
jgi.p|Suilu4|103942	3	0	12	2	5
jgi.p|Suilu4|103945	0	0	0	0	6
jgi.p|Suilu4|1040254	261	212	762	544	2194
jgi.p|Suilu4|104073	36	35	185	59	140
jgi.p|Suilu4|1042247	35	27	108	31	99
jgi.p|Suilu4|1042476	73	36	159	51	96
jgi.p|Suilu4|1042538	14	13	63	8	33
jgi.p|Suilu4|1045175	0	0	1	1	1
jgi.p|Suilu4|10464	0	0	0	0	0
jgi.p|Suilu4|10465	0	0	0	0	0
jgi.p|Suilu4|10467	13144	8698	47094	11973	35525
jgi.p|Suilu4|10512	66	31	201	69	154
jgi.p|Suilu4|10513	573	445	1910	881	2573
jgi.p|Suilu4|105173	2	0	1	0	0
jgi.p|Suilu4|1052116	177	156	583	75	210
jgi.p|Suilu4|105246	359	276	1093	312	814
jgi.p|Suilu4|10527	2390	1494	9287	279	1346
jgi.p|Suilu4|1053200	129	71	472	10	48
jgi.p|Suilu4|1053227	14	21	85	9	38
jgi.p|Suilu4|105613	2	2	7	1	5
jgi.p|Suilu4|105623	0	0	0	0	0
jgi.p|Suilu4|105684	0	0	0	0	0
jgi.p|Suilu4|1057307	806	515	2644	527	1582
jgi.p|Suilu4|10576	134	106	526	104	331
jgi.p|Suilu4|105799	457	276	1036	541	1605
jgi.p|Suilu4|105932	2531	1497	9060	513	1451
jgi.p|Suilu4|106127	404	285	1382	193	545
jgi.p|Suilu4|1062004	1	0	0	0	0
jgi.p|Suilu4|106246	0	0	0	0	0
jgi.p|Suilu4|106313	8	5	23	0	1
jgi.p|Suilu4|1063432	4492	2983	16452	476	1574
jgi.p|Suilu4|10638	0	0	0	0	0
jgi.p|Suilu4|10639	0	0	0	0	0
jgi.p|Suilu4|106419	476	292	1288	195	656
jgi.p|Suilu4|10642	0	0	0	0	0
jgi.p|Suilu4|106420	392	237	1104	84	269
jgi.p|Suilu4|106445	1677	918	5674	986	2343
jgi.p|Suilu4|106512	216	130	593	279	649
jgi.p|Suilu4|106594	28	35	112	50	262
jgi.p|Suilu4|1066669	529	291	2203	473	1677
jgi.p|Suilu4|10667	3358	2186	11060	2498	7477
jgi.p|Suilu4|106848	0	0	0	0	0
jgi.p|Suilu4|107023	623	498	2182	1217	3653
jgi.p|Suilu4|107028	102	56	199	22	138
jgi.p|Suilu4|1070409	182	117	558	115	366
jgi.p|Suilu4|10711	1406	950	5313	2498	7105
jgi.p|Suilu4|10712	1342	772	5429	530	1354
jgi.p|Suilu4|1073756	952	639	3789	956	2701
jgi.p|Suilu4|1074661	460	258	1380	181	529
