GeneID	GO_Term
7630	"GO:0003824,GO:0042450,GO:0004056"
7801	"GO:0008565,GO:0006886,GO:0005737,GO:0005643,GO:0005634,GO:0000059,GO:0005488"
7848	GO:0019904
8138	"GO:0020037,GO:0006118,GO:0005506,GO:0004497,GO:0050381"
8222	"GO:0005525,GO:0003924,GO:0050800"
8357	"GO:0005975,GO:0004553"
8735	"GO:0008234,GO:0006508"
8927	"GO:0008615,GO:0004733,GO:0010181"
9046	"GO:0050660,GO:0003824,GO:0016491,GO:0004458"
9129	"GO:0043565,GO:0005622,GO:0003677"
9162	"GO:0016020,GO:0006821,GO:0005247,GO:0005216"
9182	"GO:0030246,GO:0005975,GO:0005576,GO:0004553"
9244	"GO:0007018,GO:0005875,GO:0005524,GO:0003777"
9410	"GO:0007165,GO:0005622"
9440	"GO:0016020,GO:0008643,GO:0005351,GO:0016021,GO:0006810,GO:0005215"
9493	"GO:0016020,GO:0008643,GO:0005351,GO:0016021,GO:0006810,GO:0005215"
9554	"GO:0015450,GO:0006886,GO:0005741"
9721	GO:0008806
9934	"GO:0016491,GO:0008152,GO:0045703,GO:0042469,GO:0018450,GO:0018449,GO:0018448,GO:0018447,GO:0018446,GO:0004344"
9948	"GO:0016301,GO:0008152,GO:0005524"
9989	GO:0004032
10467	"GO:0006118,GO:0003995,GO:0016627,GO:0008152,GO:0050660,GO:0003853"
10513	"GO:0016787,GO:0017023,GO:0017020,GO:0017018,GO:0008597,GO:0008420,GO:0005963,GO:0004724,GO:0004723,GO:0004721"
10667	"GO:0008152,GO:0009116,GO:0009113,GO:0004044"
10711	GO:0004622
10712	GO:0004622
10847	"GO:0046873,GO:0030001,GO:0016020"
10863	"GO:0016740,GO:0008152,GO:0030170,GO:0016769,GO:0009058,GO:0017059,GO:0004758"
11126	"GO:0008270,GO:0006355,GO:0005634,GO:0003700,GO:0006350,GO:0003677"
11270	"GO:0006468,GO:0005524,GO:0004672,GO:0004674,GO:0034211,GO:0019912,GO:0019199,GO:0016909,GO:0016908,GO:0008545,GO:0008349,GO:0008339,GO:0008338,GO:0004718,GO:0004711,GO:0004710,GO:0004708,GO:0004706,GO:0004705,GO:0004704,GO:0004702,GO:0004700,GO:0004698,GO:0004696,GO:0004695,GO:0004694,GO:0004690,GO:0004681,GO:0004680,GO:0004679,GO:0004677,GO:0004676,GO:0004675"
11687	GO:0005622
11810	"GO:0019239,GO:0009168"
11847	GO:0005525
11853	"GO:0008152,GO:0003824,GO:0016788,GO:0009058,GO:0043762,GO:0043759,GO:0018857,GO:0018856,GO:0018855,GO:0018854,GO:0018853,GO:0015645,GO:0004774,GO:0003996"
11921	"GO:0006468,GO:0005524,GO:0004672,GO:0004674,GO:0004682"
12094	GO:0003922
12252	"GO:0016491,GO:0005507,GO:0008447"
12403	"GO:0046488,GO:0016307,GO:0016308"
12439	"GO:0006468,GO:0005524,GO:0004672,GO:0004713,GO:0004682"
12511	"GO:0008270,GO:0005515,GO:0051444,GO:0051443,GO:0051440,GO:0051438,GO:0004842"
12523	"GO:0043765,GO:0042578,GO:0004518"
12544	GO:0005515
12570	GO:0004663
12675	"GO:0008270,GO:0006355,GO:0005634,GO:0003700"
12904	GO:0005488
12922	"GO:0008270,GO:0005515"
12943	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
12970	"GO:0008270,GO:0005622,GO:0003676"
13166	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
13530	"GO:0016021,GO:0004659"
13532	GO:0043365
13650	"GO:0008270,GO:0003676"
13840	"GO:0016564,GO:0006808"
14192	GO:0003676
14402	"GO:0050660,GO:0016491,GO:0003824,GO:0019139"
14770	"GO:0006118,GO:0046914,GO:0020037,GO:0016491,GO:0030151,GO:0050660,GO:0046857,GO:0042128,GO:0005506"
14841	"GO:0035023,GO:0005622,GO:0005089,GO:0007242,GO:0005085,GO:0005509"
14848	"GO:0008270,GO:0005622,GO:0003676"
14877	GO:0004591
15154	GO:0009702
15225	"GO:0051341,GO:0043883,GO:0043826,GO:0043738"
15263	"GO:0008152,GO:0003951,GO:0042736"
15390	"GO:0008237,GO:0006508,GO:0046983,GO:0016787,GO:0004226"
15482	"GO:0005524,GO:0004386,GO:0003676,GO:0008026"
15754	GO:0008171
15757	"GO:0016020,GO:0008643,GO:0005351,GO:0016021,GO:0006810,GO:0005215"
15775	GO:0005488
15778	"GO:0007242,GO:0007165,GO:0004629,GO:0006629,GO:0004435"
15941	"GO:0008152,GO:0008080,GO:0051536,GO:0003824,GO:0004402"
16247	"GO:0046873,GO:0030001,GO:0016020"
16255	GO:0005622
16356	"GO:0006468,GO:0005524,GO:0004672,GO:0004674,GO:0004682"
16437	"GO:0046914,GO:0016491"
16544	"GO:0016491,GO:0006118,GO:0001716"
16551	GO:0008299
16596	"GO:0005524,GO:0004386,GO:0003676,GO:0008026,GO:0008270,GO:0005622"
16609	"GO:0016491,GO:0006118,GO:0001716"
16931	"GO:0018279,GO:0005789,GO:0004579"
16967	GO:0008270
17025	"GO:0008270,GO:0005622,GO:0003676"
17231	"GO:0006468,GO:0005524,GO:0004672,GO:0004713"
17251	"GO:0006468,GO:0005524,GO:0004672,GO:0004713,GO:0004715"
17368	"GO:0006508,GO:0004190"
17456	"GO:0017111,GO:0000166,GO:0005524,GO:0030163,GO:0016787,GO:0005737,GO:0005634"
17728	GO:0008270
17729	"GO:0016021,GO:0015299,GO:0006885"
17807	"GO:0008565,GO:0006886,GO:0005737,GO:0005643,GO:0005634,GO:0000059,GO:0005488"
18045	GO:0004816
18065	"GO:0006468,GO:0005524,GO:0004672"
18081	"GO:0016491,GO:0010181"
18139	"GO:0016020,GO:0003824"
18140	"GO:0020037,GO:0006118,GO:0005506,GO:0004497,GO:0003723"
18260	"GO:0006508,GO:0004194,GO:0004190"
18292	"GO:0051082,GO:0016272,GO:0006457"
18308	GO:0005515
18321	"GO:0042626,GO:0016021,GO:0006810,GO:0005524"
18423	GO:0003677
18774	"GO:0050661,GO:0016021,GO:0009276,GO:0008750,GO:0006118"
18881	"GO:0016491,GO:0006100"
19007	"GO:0006807,GO:0004356"
19095	"GO:0006350,GO:0003899,GO:0003677"
19132	"GO:0005524,GO:0003677,GO:0004386,GO:0003676"
19137	GO:0003997
19350	GO:0003677
19385	GO:0005083
19908	GO:0004802
20090	"GO:0005509,GO:0006810,GO:0005743,GO:0005488"
20186	GO:0005488
20434	"GO:0008237,GO:0006508,GO:0046983,GO:0016787,GO:0004226"
20707	"GO:0006118,GO:0003995,GO:0016627,GO:0008152,GO:0050660"
20737	GO:0019211
20739	"GO:0016491,GO:0008152,GO:0032115"
20776	GO:0047429
20854	GO:0004592
20971	GO:0016804
21053	"GO:0008152,GO:0009000"
21056	GO:0050800
21117	"GO:0042025,GO:0006355,GO:0003700,GO:0003968"
21162	"GO:0006468,GO:0005524,GO:0004672,GO:0004674,GO:0004682"
21173	GO:0008112
21232	"GO:0008652,GO:0006561,GO:0004349,GO:0003723,GO:0005737"
21312	"GO:0019752,GO:0004451,GO:0003824"
21344	GO:0005515
21494	"GO:0050660,GO:0003824,GO:0016491,GO:0004458"
21557	GO:0008299
