"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"jgi.p|Suilu4|10017",625.429830749267,0.509111600209772,0.355570921261113,1.4318144982275,0.152196916908664,0.35995085554603
"jgi.p|Suilu4|100526",5.49769808196766,2.43074870196044,0.978898882083224,2.48314585546108,0.0130227753076897,0.0748728471726117
"jgi.p|Suilu4|100593",259.898516965813,0.0630284942990119,0.255411493945816,0.246772348907614,0.805084411158919,0.909434069541142
"jgi.p|Suilu4|100937",61.6429502513196,-0.0785470800583152,0.31332903020666,-0.250685613160417,0.802057184613729,0.90734684835861
"jgi.p|Suilu4|10094",1022.04768435554,0.0984266701547026,0.278663269817711,0.353210059650448,0.723930966812482,0.86385102647872
"jgi.p|Suilu4|101036",40.7263552054753,0.666912903216205,0.370456534356848,1.80024602447366,0.0718217994843491,0.228117738576907
"jgi.p|Suilu4|101201",304.348864676292,-0.193962200945075,0.206105188827387,-0.941083541120929,0.346662049348408,0.585658489247706
"jgi.p|Suilu4|1013261",662.246763150715,0.223201488855394,0.342507507054379,0.651668895595789,0.514614792308474,0.72673358076704
"jgi.p|Suilu4|1014298",305.674695606123,0.462276561553358,0.233943729067335,1.97601604196154,0.048152960337323,0.176168994715399
"jgi.p|Suilu4|101701",17.695006084485,-1.04475144649486,0.71445292966403,-1.46230969615612,0.143656362677814,0.347762245149492
"jgi.p|Suilu4|102126",70.6991859549886,-0.193750269977731,0.345911307678386,-0.560115456410207,0.575400688399105,0.769057004470756
"jgi.p|Suilu4|102284",168.136649891832,0.424764509044015,0.449499359249247,0.944972446130858,0.344672943314179,0.583952049858772
"jgi.p|Suilu4|10256",1882.06603565044,0.00867497880095323,0.405145028905937,0.0214120331782901,0.982916974678759,0.992892603904209
"jgi.p|Suilu4|1027956",306.782211282388,0.966077451346177,0.252374371381206,3.82795386892489,0.000129212966060609,0.0024165128288061
"jgi.p|Suilu4|102810",29.8182591019501,0.0467078996814859,0.424778908704172,0.109958142281529,0.912442571173441,0.961273557552013
