"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"jgi.p|Suilu4|10017",2542.55060907428,-1.36433222918328,0.177636985272796,-7.68045138284733,1.58529003068924e-14,6.49742442578204e-13
"jgi.p|Suilu4|100491",29.9189363575426,-1.77723802830468,0.489911059892271,-3.6276748450943,0.000285985102506926,0.0015329122075523
"jgi.p|Suilu4|100526",776.863371702411,-0.165251951190495,0.14003244093158,-1.18009762660095,0.237961388486096,0.380181664244248
"jgi.p|Suilu4|10094",1136.40894806074,-0.656201658293384,0.121233883085988,-5.4126919107916,6.20842583230487e-08,8.18151647371115e-07
"jgi.p|Suilu4|101036",399.584929010004,-0.727549110251173,0.145682737691267,-4.99406533526988,5.91213823654906e-07,6.33498584525089e-06
"jgi.p|Suilu4|101193",29.8127203781151,-0.570633762298934,0.355573543683895,-1.60482626571967,0.108532043925635,0.207862773045825
"jgi.p|Suilu4|101201",21.9295441564282,-0.13929995007052,0.396165640144589,-0.351620473748505,0.725122908727364,0.822673885619575
"jgi.p|Suilu4|1013261",566.805936880018,0.415403930706331,0.116335466245436,3.57074195954948,0.00035597145115103,0.00183931939370069
"jgi.p|Suilu4|1014298",625.376278056323,-0.442521119760435,0.167582687768086,-2.64061357204647,0.00827560502784222,0.0261052345518189
"jgi.p|Suilu4|102126",13.3238969547097,0.334178085863893,0.53506594791364,0.624554949099151,0.532263195385216,0.668370753938666
"jgi.p|Suilu4|102388",98.0920409454656,0.122304262158559,0.235199388515542,0.520002466547558,0.603061855948322,0.726662941921771
"jgi.p|Suilu4|10256",1086.3464071299,-0.164706554908258,0.149259266739067,-1.10349299247326,0.269813133023219,0.417076443234707
"jgi.p|Suilu4|1027956",225.056683002076,0.565915516482876,0.147962910271478,3.82471198656847,0.00013092505152641,0.000782549943394314
"jgi.p|Suilu4|102810",7.68999676026418,0.0482262589824305,0.628639737131429,0.0767152569808802,0.938850066994522,0.964248284128015
"jgi.p|Suilu4|10291",3034.08492776578,-0.0195474778290326,0.0931647592406235,-0.209816222232119,0.833811111364559,0.896208327621961
"jgi.p|Suilu4|102961",76.3435651918588,1.07786904398962,0.229745919043744,4.69156992418392,2.71116578762116e-06,2.48707742435975e-05
"jgi.p|Suilu4|103203",89.8133207140839,0.173817038507015,0.217073994852464,0.8007271374222,0.42328962857695,0.573379577142242
"jgi.p|Suilu4|103567",259.765250906544,0.695585771374844,0.171957229790216,4.0451091950216,5.22987416116675e-05,0.000353769041198265
"jgi.p|Suilu4|1037566",7.91740889460309,-0.32991302983967,0.728450281666205,-0.4528971134242,0.650622829597622,0.765061243549973
"jgi.p|Suilu4|1037686",54.3544473812091,-0.012175292872894,0.255900400845178,-0.0475782485399865,0.962052367544073,0.976518040857578
"jgi.p|Suilu4|103942",70.3715400851212,-0.531712334548798,0.225954219743322,-2.35318612395382,0.0186133146920032,0.0511999998574852
"jgi.p|Suilu4|103945",126.815770581827,-1.18821939557399,0.225537346038828,-5.2683930907364,1.37623155415308e-07,1.69459584929836e-06
"jgi.p|Suilu4|1040254",802.922799172156,-0.688277455490944,0.177350351621012,-3.88089140619104,0.000104074306408274,0.000640930628725692
"jgi.p|Suilu4|104073",19.0457956804468,-0.0793415987233232,0.417222804967526,-0.190166016283551,0.849179040240325,0.906865686376138
"jgi.p|Suilu4|1042247",8.18348145233521,-0.393336701670465,0.614785919280865,-0.639794584317357,0.522306153937292,0.661514780110845
"jgi.p|Suilu4|1042476",23.8248366150761,-0.302808094703096,0.366021553932091,-0.827295801162784,0.408069423077047,0.559632492738072
"jgi.p|Suilu4|1042538",16.6480399768711,-1.0007806568134,0.49215176709958,-2.03347975912258,0.042004076476758,0.0992666354298342
"jgi.p|Suilu4|1045175",53.4286582957492,0.680030654357169,0.426007106211448,1.59628946194066,0.110424181771152,0.21071298802889
"jgi.p|Suilu4|10467",2429.52174287675,-0.197654654841077,0.109031568505204,-1.81282042944878,0.0698595219487597,0.148327081199624
"jgi.p|Suilu4|10512",43.7318488914724,0.0726290221734355,0.311308268502032,0.23330257986052,0.815526455439203,0.884508231983772
"jgi.p|Suilu4|10513",320.754515238333,0.245199314626867,0.137086223642378,1.78865029695856,0.0736711522046635,0.154872713445818
"jgi.p|Suilu4|1052116",33.1954634739682,0.127467432032649,0.36989443237604,0.344604895007079,0.730391425287602,0.826159469853397
"jgi.p|Suilu4|105246",353.322002099902,0.243419622263688,0.123264478718929,1.9747750916851,0.0482936769076673,0.110732914324154
"jgi.p|Suilu4|10527",88.5236319276889,-0.0454719100983583,0.206497688777126,-0.220205419090363,0.825711176387762,0.891286136116633
"jgi.p|Suilu4|1053200",43.2957463713833,-1.06637165507831,0.417386880411195,-2.55487583612538,0.010622568248018,0.032122422454349
"jgi.p|Suilu4|1053227",55.9740505128845,-1.76197922082173,0.295666494609982,-5.95934694306833,2.53247928129318e-09,4.45064812130482e-08
"jgi.p|Suilu4|1057307",2693.38987546661,-1.86729081585025,0.107158192957367,-17.4255534207558,5.27951724244268e-68,1.21175479748544e-64
"jgi.p|Suilu4|10576",50.4472355700133,-0.827383758066992,0.307794793676542,-2.68810186223124,0.00718594721274079,0.0232036944888614
"jgi.p|Suilu4|105799",527.23026962104,0.550205517693415,0.128183115309301,4.29234003531425,1.76799916842735e-05,0.000136080204271444
"jgi.p|Suilu4|105932",487.163323961278,-0.262409757241886,0.146945284347011,-1.78576507853226,0.0741373032139617,0.155539248936641
"jgi.p|Suilu4|106127",32.2118289923064,0.678621460745239,0.373985106525653,1.81456814430307,0.0695903016842573,0.147837523533605
"jgi.p|Suilu4|1063432",194.865104049889,-0.386031493910207,0.20844385447857,-1.85196869860174,0.0640303178308784,0.138496940304176
"jgi.p|Suilu4|106419",154.688595242817,-0.547858098452953,0.199950180423468,-2.73997301374103,0.00614442291755885,0.0203678213177081
"jgi.p|Suilu4|106420",60.8786535007103,0.318682547488915,0.240737310967127,1.32377713370916,0.185577072475072,0.315416723455058
