GeneID	HZGZP	HZGZS	HZGZT	HZGZU	HZGZW	HZGZX
jgi.p|Suilu4|100001	0	0	0	0	0	0
jgi.p|Suilu4|100059	0	0	0	0	0	0
jgi.p|Suilu4|10006	0	0	1	0	1	2
jgi.p|Suilu4|100080	0	0	0	0	0	0
jgi.p|Suilu4|100092	0	0	0	0	0	0
jgi.p|Suilu4|100098	0	0	0	0	0	0
jgi.p|Suilu4|10017	487	1138	828	890	1410	750
jgi.p|Suilu4|100207	0	0	0	0	0	0
jgi.p|Suilu4|100215	0	0	0	0	0	0
jgi.p|Suilu4|100219	0	0	0	0	0	0
jgi.p|Suilu4|100256	0	0	0	0	0	0
jgi.p|Suilu4|100311	0	0	0	0	0	0
jgi.p|Suilu4|100326	0	0	0	0	0	0
jgi.p|Suilu4|100355	0	0	0	0	0	0
jgi.p|Suilu4|100445	0	0	0	0	0	0
jgi.p|Suilu4|100465	0	0	0	0	0	0
jgi.p|Suilu4|100491	0	1	3	0	3	0
jgi.p|Suilu4|100526	317	638	360	654	803	595
jgi.p|Suilu4|100527	0	0	0	0	0	0
jgi.p|Suilu4|100549	0	0	0	0	0	0
jgi.p|Suilu4|100590	0	0	0	0	0	0
jgi.p|Suilu4|100593	0	0	3	0	1	0
jgi.p|Suilu4|100608	0	0	0	0	0	0
jgi.p|Suilu4|100628	0	0	0	0	0	0
jgi.p|Suilu4|100630	0	0	0	0	0	0
jgi.p|Suilu4|100692	0	0	0	0	0	0
jgi.p|Suilu4|100700	0	0	0	0	0	0
jgi.p|Suilu4|100723	0	0	0	0	0	0
jgi.p|Suilu4|100731	0	0	0	0	0	0
jgi.p|Suilu4|100753	0	0	0	0	0	0
jgi.p|Suilu4|100839	0	0	0	0	0	0
jgi.p|Suilu4|100867	0	0	0	0	0	0
jgi.p|Suilu4|100871	0	0	0	0	0	0
jgi.p|Suilu4|100924	0	0	0	0	0	0
jgi.p|Suilu4|100937	0	0	0	0	0	0
jgi.p|Suilu4|10094	695	1099	843	1201	1513	1047
jgi.p|Suilu4|101025	0	0	0	0	0	0
jgi.p|Suilu4|101036	68	90	92	108	136	78
jgi.p|Suilu4|101052	0	0	0	0	1	0
jgi.p|Suilu4|101126	0	0	0	0	0	0
jgi.p|Suilu4|101193	0	0	0	0	0	0
jgi.p|Suilu4|101201	26	50	27	41	67	68
jgi.p|Suilu4|1013261	300	695	273	625	928	592
jgi.p|Suilu4|101339	0	0	0	0	0	0
jgi.p|Suilu4|101424	0	0	0	0	0	0
jgi.p|Suilu4|1014298	480	718	480	941	964	608
jgi.p|Suilu4|101548	0	0	0	0	0	0
jgi.p|Suilu4|101628	0	0	0	0	0	0
jgi.p|Suilu4|101643	0	0	0	0	0	0
jgi.p|Suilu4|101649	0	0	0	0	0	0
jgi.p|Suilu4|101659	0	0	0	0	0	0
jgi.p|Suilu4|101701	0	0	0	0	0	1
jgi.p|Suilu4|101793	0	0	0	0	0	0
jgi.p|Suilu4|101794	0	0	0	0	0	0
jgi.p|Suilu4|101886	0	0	0	0	0	0
jgi.p|Suilu4|101949	0	0	0	0	0	0
jgi.p|Suilu4|102007	0	0	0	0	0	0
jgi.p|Suilu4|102008	0	0	0	0	0	0
jgi.p|Suilu4|102029	0	0	0	0	0	0
jgi.p|Suilu4|102032	0	0	0	0	0	0
jgi.p|Suilu4|102126	0	0	0	0	0	0
jgi.p|Suilu4|102163	0	0	0	0	0	0
jgi.p|Suilu4|102187	0	0	0	0	0	0
jgi.p|Suilu4|102203	0	0	0	0	0	0
jgi.p|Suilu4|102208	0	0	0	0	0	0
jgi.p|Suilu4|102214	0	0	0	0	0	0
jgi.p|Suilu4|102246	0	0	0	0	0	0
jgi.p|Suilu4|102253	0	0	0	0	0	0
jgi.p|Suilu4|102284	0	0	0	0	0	0
jgi.p|Suilu4|102290	0	0	0	0	0	0
jgi.p|Suilu4|102301	0	0	0	0	0	0
jgi.p|Suilu4|102302	0	0	0	0	0	0
jgi.p|Suilu4|102312	0	0	0	0	0	0
jgi.p|Suilu4|102325	0	0	0	0	0	0
jgi.p|Suilu4|102361	0	0	0	0	0	0
jgi.p|Suilu4|102366	0	0	0	0	0	0
jgi.p|Suilu4|102388	56	121	80	98	150	111
jgi.p|Suilu4|102475	0	3	2	1	4	2
jgi.p|Suilu4|102502	0	0	0	0	0	0
jgi.p|Suilu4|10256	1001	1395	856	1821	2127	1452
jgi.p|Suilu4|102646	0	0	0	0	0	0
jgi.p|Suilu4|102671	0	0	0	0	0	0
jgi.p|Suilu4|102711	0	0	0	0	0	0
jgi.p|Suilu4|102719	0	0	0	0	0	0
jgi.p|Suilu4|1027956	268	471	280	509	564	334
jgi.p|Suilu4|102810	33	60	29	58	71	44
jgi.p|Suilu4|102842	1	0	0	0	0	0
jgi.p|Suilu4|102844	0	0	0	0	0	0
jgi.p|Suilu4|102856	0	0	0	0	0	0
jgi.p|Suilu4|102857	0	0	0	0	0	0
jgi.p|Suilu4|102900	0	0	0	0	0	0
jgi.p|Suilu4|102909	0	0	0	0	0	0
jgi.p|Suilu4|10291	2385	3646	2150	4546	5030	3491
jgi.p|Suilu4|102955	0	0	0	0	0	0
jgi.p|Suilu4|102961	98	147	104	222	280	160
jgi.p|Suilu4|103044	0	0	0	0	0	0
jgi.p|Suilu4|103067	0	0	0	0	0	0
jgi.p|Suilu4|103091	0	0	0	1	0	0
jgi.p|Suilu4|103203	8	15	4	13	19	13
jgi.p|Suilu4|103567	148	344	205	281	498	272
jgi.p|Suilu4|1037566	37	39	49	59	57	49
jgi.p|Suilu4|1037686	8	32	18	58	43	32
jgi.p|Suilu4|103942	13	15	12	22	15	12
jgi.p|Suilu4|103945	421	577	331	500	600	375
jgi.p|Suilu4|1040254	335	589	351	593	797	403
jgi.p|Suilu4|104073	9	20	17	19	28	20
jgi.p|Suilu4|1042247	42	68	42	71	93	55
jgi.p|Suilu4|1042476	88	120	100	131	133	123
jgi.p|Suilu4|1042538	59	94	56	94	130	84
jgi.p|Suilu4|1045175	19	48	19	60	55	44
jgi.p|Suilu4|10464	0	0	0	0	0	0
jgi.p|Suilu4|10465	0	0	0	0	0	0
jgi.p|Suilu4|10467	1041	2118	1385	1698	2265	1491
jgi.p|Suilu4|10512	40	77	54	116	88	71
jgi.p|Suilu4|10513	413	746	499	760	999	622
jgi.p|Suilu4|105173	0	0	0	0	0	0
jgi.p|Suilu4|1052116	36	62	43	63	88	62
jgi.p|Suilu4|105246	292	474	296	545	611	449
jgi.p|Suilu4|10527	59	95	84	135	113	69
jgi.p|Suilu4|1053200	54	85	57	87	69	50
jgi.p|Suilu4|1053227	14	35	19	20	27	14
jgi.p|Suilu4|105613	0	0	0	0	0	0
jgi.p|Suilu4|105623	0	0	0	0	0	0
jgi.p|Suilu4|105684	0	0	0	0	0	0
jgi.p|Suilu4|1057307	672	1527	1558	841	1075	659
jgi.p|Suilu4|10576	42	85	73	95	99	87
jgi.p|Suilu4|105799	402	602	372	702	775	605
jgi.p|Suilu4|105932	130	225	167	221	299	234
jgi.p|Suilu4|106127	26	20	24	39	41	28
jgi.p|Suilu4|1062004	0	0	0	0	0	0
jgi.p|Suilu4|106246	0	0	0	0	0	0
jgi.p|Suilu4|106313	0	1	0	0	0	0
jgi.p|Suilu4|1063432	104	224	163	186	256	192
jgi.p|Suilu4|10638	0	0	0	0	0	0
jgi.p|Suilu4|10639	0	0	0	0	0	0
jgi.p|Suilu4|106419	98	148	143	123	131	70
jgi.p|Suilu4|10642	0	0	0	0	0	0
jgi.p|Suilu4|106420	103	182	143	210	231	170
jgi.p|Suilu4|106445	412	827	508	888	1144	636
jgi.p|Suilu4|106512	158	274	199	284	313	244
jgi.p|Suilu4|106594	35	62	52	69	50	42
jgi.p|Suilu4|1066669	218	537	316	403	507	320
jgi.p|Suilu4|10667	793	1334	801	1186	1461	977
jgi.p|Suilu4|106848	0	0	0	0	0	0
jgi.p|Suilu4|107023	850	1387	991	1938	2002	1392
jgi.p|Suilu4|107028	63	89	73	115	138	91
jgi.p|Suilu4|1070409	0	0	0	0	0	0
jgi.p|Suilu4|10711	1304	2466	1302	1898	2700	1698
jgi.p|Suilu4|10712	112	187	128	101	177	123
jgi.p|Suilu4|1073756	3299	4320	3149	4924	5026	3497
jgi.p|Suilu4|1074661	148	290	158	260	403	257
jgi.p|Suilu4|1074667	10	8	6	7	6	5
jgi.p|Suilu4|1075213	30	63	37	39	38	27
jgi.p|Suilu4|10757	290	607	303	522	663	430
jgi.p|Suilu4|107603	0	0	0	0	0	0
jgi.p|Suilu4|107633	2	0	0	3	0	1
jgi.p|Suilu4|107703	6	18	13	30	21	23
jgi.p|Suilu4|107719	0	0	0	0	0	0
jgi.p|Suilu4|107730	322	493	327	374	383	281
jgi.p|Suilu4|1077578	9	7	5	13	14	8
jgi.p|Suilu4|107813	0	0	0	0	0	0
jgi.p|Suilu4|107840	0	0	0	0	0	0
jgi.p|Suilu4|107841	0	0	0	0	0	0
jgi.p|Suilu4|107948	0	0	0	0	0	0
jgi.p|Suilu4|107949	0	0	0	0	0	0
jgi.p|Suilu4|107951	0	0	0	0	0	0
jgi.p|Suilu4|108059	213	363	280	371	338	246
jgi.p|Suilu4|10847	282	502	286	525	575	340
jgi.p|Suilu4|108488	0	0	0	0	0	0
jgi.p|Suilu4|108502	0	0	0	0	0	0
jgi.p|Suilu4|10854	303	422	260	447	627	400
jgi.p|Suilu4|108553	6	18	6	24	22	12
jgi.p|Suilu4|108622	0	0	0	0	0	0
jgi.p|Suilu4|10863	95	153	93	212	224	160
jgi.p|Suilu4|108648	153	313	194	265	405	296
jgi.p|Suilu4|108662	0	0	0	0	0	0
jgi.p|Suilu4|108667	0	0	0	0	0	0
jgi.p|Suilu4|108689	115	166	91	177	219	131
jgi.p|Suilu4|1087133	19	43	27	30	51	22
jgi.p|Suilu4|10873	210	388	191	344	490	360
jgi.p|Suilu4|1087995	257	359	256	491	458	265
jgi.p|Suilu4|1088222	5	3	2	2	12	16
jgi.p|Suilu4|1088397	13	20	20	23	33	13
jgi.p|Suilu4|108927	0	0	0	0	0	0
jgi.p|Suilu4|108995	0	0	0	0	0	0
jgi.p|Suilu4|108996	0	0	0	0	0	0
jgi.p|Suilu4|108997	0	0	0	0	0	0
jgi.p|Suilu4|109000	0	0	0	0	0	0
jgi.p|Suilu4|109084	0	0	0	0	0	0
jgi.p|Suilu4|109090	0	0	0	0	0	0
jgi.p|Suilu4|1090955	24	48	37	46	71	38
jgi.p|Suilu4|1091014	0	0	0	0	0	0
jgi.p|Suilu4|109170	0	0	0	0	0	0
jgi.p|Suilu4|109171	0	0	0	0	0	0
jgi.p|Suilu4|109194	0	0	0	2	2	1
jgi.p|Suilu4|109226	0	0	0	0	0	0
jgi.p|Suilu4|1092383	4	8	5	11	13	7
jgi.p|Suilu4|109249	58	95	80	139	164	99
jgi.p|Suilu4|109297	0	0	0	0	0	0
jgi.p|Suilu4|109299	0	0	0	0	0	0
jgi.p|Suilu4|109328	0	1	0	0	0	0
jgi.p|Suilu4|1093361	161	302	222	319	368	248
jgi.p|Suilu4|109403	0	0	0	0	0	0
jgi.p|Suilu4|109435	0	0	0	0	0	0
jgi.p|Suilu4|109460	1	0	0	0	0	0
jgi.p|Suilu4|109475	0	0	0	0	0	0
jgi.p|Suilu4|109516	0	0	0	0	0	0
jgi.p|Suilu4|109581	0	0	0	0	0	0
jgi.p|Suilu4|1097602	3881	5765	3731	6941	7436	4932
jgi.p|Suilu4|10982	227	410	235	434	561	311
jgi.p|Suilu4|109859	0	0	0	0	0	0
jgi.p|Suilu4|110014	0	0	0	0	0	0
jgi.p|Suilu4|110062	5	15	3	13	14	15
jgi.p|Suilu4|11009	274	508	276	448	476	331
jgi.p|Suilu4|110122	0	0	0	0	0	0
jgi.p|Suilu4|11019	35	64	38	106	77	50
jgi.p|Suilu4|110195	0	0	0	0	0	0
jgi.p|Suilu4|110198	0	0	0	0	0	0
jgi.p|Suilu4|110289	0	0	0	0	0	0
jgi.p|Suilu4|110405	31	55	34	49	83	34
jgi.p|Suilu4|110412	0	0	0	0	0	0
jgi.p|Suilu4|110421	0	0	0	0	0	0
jgi.p|Suilu4|110422	0	0	0	0	0	0
jgi.p|Suilu4|1104796	24	45	39	56	65	42
jgi.p|Suilu4|110494	1	0	0	0	0	0
jgi.p|Suilu4|1105188	0	4	4	0	3	4
jgi.p|Suilu4|1105231	34	51	36	57	77	45
jgi.p|Suilu4|110535	0	0	0	0	0	0
jgi.p|Suilu4|110568	0	0	0	0	0	0
jgi.p|Suilu4|110580	0	0	1	1	0	2
jgi.p|Suilu4|110587	0	0	0	0	0	0
jgi.p|Suilu4|110608	0	0	0	0	0	0
jgi.p|Suilu4|110630	0	0	0	0	0	0
jgi.p|Suilu4|110674	0	0	0	0	0	0
jgi.p|Suilu4|110686	0	0	0	0	0	0
jgi.p|Suilu4|110703	0	0	0	0	0	0
jgi.p|Suilu4|110742	0	0	0	0	0	0
