GeneID	HZGYU	HZGYW	HZGYX	HZGYY	HZGYZ	HZGZA
jgi.p|Suilu4|100001	0	0	0	0	0	0
jgi.p|Suilu4|100059	0	0	0	0	0	0
jgi.p|Suilu4|10006	3	1	1	2	1	1
jgi.p|Suilu4|100080	0	0	0	0	0	0
jgi.p|Suilu4|100092	0	0	0	0	0	0
jgi.p|Suilu4|100098	0	0	0	0	0	0
jgi.p|Suilu4|10017	936	523	730	658	560	596
jgi.p|Suilu4|100207	0	0	0	0	0	0
jgi.p|Suilu4|100215	0	0	0	0	0	0
jgi.p|Suilu4|100219	0	0	0	0	0	0
jgi.p|Suilu4|100256	0	0	0	0	0	0
jgi.p|Suilu4|100311	0	0	0	0	0	0
jgi.p|Suilu4|100326	10	11	8	8	3	9
jgi.p|Suilu4|100355	0	0	0	0	0	0
jgi.p|Suilu4|100445	0	0	0	0	0	0
jgi.p|Suilu4|100465	0	0	0	0	0	0
jgi.p|Suilu4|100491	0	0	0	0	0	0
jgi.p|Suilu4|100526	1280	992	1011	1232	582	742
jgi.p|Suilu4|100527	0	0	0	0	0	0
jgi.p|Suilu4|100549	0	0	0	0	0	0
jgi.p|Suilu4|100590	0	0	0	0	0	0
jgi.p|Suilu4|100593	0	0	0	0	0	0
jgi.p|Suilu4|100608	0	0	0	0	0	0
jgi.p|Suilu4|100628	0	0	0	0	0	0
jgi.p|Suilu4|100630	0	0	0	0	0	0
jgi.p|Suilu4|100692	0	0	0	0	0	0
jgi.p|Suilu4|100700	0	0	0	0	0	0
jgi.p|Suilu4|100723	0	0	0	0	0	0
jgi.p|Suilu4|100731	0	0	0	0	0	0
jgi.p|Suilu4|100753	0	0	0	0	0	0
jgi.p|Suilu4|100839	0	0	0	0	0	0
jgi.p|Suilu4|100867	0	0	0	0	0	0
jgi.p|Suilu4|100871	0	0	0	0	0	0
jgi.p|Suilu4|100924	0	0	0	0	0	0
jgi.p|Suilu4|100937	0	0	0	0	0	0
jgi.p|Suilu4|10094	2576	1507	1765	2153	1136	1204
jgi.p|Suilu4|101025	0	0	0	0	0	0
jgi.p|Suilu4|101036	96	63	94	92	64	65
jgi.p|Suilu4|101052	0	0	0	0	0	0
jgi.p|Suilu4|101126	5	8	5	8	1	7
jgi.p|Suilu4|101193	116	47	65	63	31	38
jgi.p|Suilu4|101201	0	0	0	1	2	0
jgi.p|Suilu4|1013261	589	474	643	732	394	499
jgi.p|Suilu4|101339	0	0	0	0	0	0
jgi.p|Suilu4|101424	0	0	0	0	0	0
jgi.p|Suilu4|1014298	666	470	539	554	374	420
jgi.p|Suilu4|101548	0	0	0	0	0	0
jgi.p|Suilu4|101628	0	0	0	0	0	0
jgi.p|Suilu4|101643	0	0	0	0	0	0
jgi.p|Suilu4|101649	0	0	0	0	0	0
jgi.p|Suilu4|101659	0	0	0	0	0	0
jgi.p|Suilu4|101701	12	15	9	23	13	9
jgi.p|Suilu4|101793	0	0	0	0	0	0
jgi.p|Suilu4|101794	0	0	0	0	0	0
jgi.p|Suilu4|101886	0	0	0	0	0	0
jgi.p|Suilu4|101949	0	0	0	0	0	0
jgi.p|Suilu4|102007	0	0	0	0	0	0
jgi.p|Suilu4|102008	0	0	0	0	0	0
jgi.p|Suilu4|102029	0	0	0	0	0	0
jgi.p|Suilu4|102032	0	0	0	0	0	0
jgi.p|Suilu4|102126	0	0	0	0	0	0
jgi.p|Suilu4|102163	0	0	0	0	0	0
jgi.p|Suilu4|102187	0	0	0	0	0	0
jgi.p|Suilu4|102203	0	0	0	0	0	0
jgi.p|Suilu4|102208	0	0	0	0	0	0
jgi.p|Suilu4|102214	0	0	0	0	0	0
jgi.p|Suilu4|102246	0	0	2	0	0	1
jgi.p|Suilu4|102253	0	0	0	0	0	0
jgi.p|Suilu4|102284	0	0	0	0	0	0
jgi.p|Suilu4|102290	0	0	0	0	0	0
jgi.p|Suilu4|102301	0	0	0	0	0	0
jgi.p|Suilu4|102302	0	0	0	0	0	0
jgi.p|Suilu4|102312	0	0	0	0	0	0
jgi.p|Suilu4|102325	0	0	0	0	0	0
jgi.p|Suilu4|102361	0	0	0	0	0	0
jgi.p|Suilu4|102366	0	0	0	0	0	0
jgi.p|Suilu4|102388	2660	1339	2661	1989	1470	1999
jgi.p|Suilu4|102475	0	0	0	0	0	0
jgi.p|Suilu4|102502	0	0	0	0	0	0
jgi.p|Suilu4|10256	1838	797	1265	880	689	1007
jgi.p|Suilu4|102646	0	0	0	0	0	0
jgi.p|Suilu4|102671	0	0	0	0	0	0
jgi.p|Suilu4|102711	0	0	0	0	0	0
jgi.p|Suilu4|102719	0	0	0	0	0	0
jgi.p|Suilu4|1027956	357	316	371	337	212	286
jgi.p|Suilu4|102810	46	37	57	33	38	48
jgi.p|Suilu4|102842	0	0	0	0	0	0
jgi.p|Suilu4|102844	0	0	0	0	0	0
jgi.p|Suilu4|102856	0	0	0	0	0	0
jgi.p|Suilu4|102857	0	0	0	0	0	0
jgi.p|Suilu4|102900	0	0	0	0	0	0
jgi.p|Suilu4|102909	0	0	0	1	0	0
jgi.p|Suilu4|10291	4906	3323	4513	3762	2356	3186
jgi.p|Suilu4|102955	0	0	0	0	0	0
jgi.p|Suilu4|102961	121	98	122	125	55	78
jgi.p|Suilu4|103044	0	0	0	0	0	0
jgi.p|Suilu4|103067	0	0	0	0	0	0
jgi.p|Suilu4|103091	0	0	0	0	0	0
jgi.p|Suilu4|103203	0	0	0	1	0	0
jgi.p|Suilu4|103567	255	199	250	271	187	204
jgi.p|Suilu4|1037566	5	0	1	2	3	1
jgi.p|Suilu4|1037686	142	73	84	104	57	69
jgi.p|Suilu4|103942	37	47	30	50	27	32
jgi.p|Suilu4|103945	365	294	301	364	188	213
jgi.p|Suilu4|1040254	830	547	637	743	361	464
jgi.p|Suilu4|104073	31	17	9	29	14	17
jgi.p|Suilu4|1042247	99	44	73	56	34	68
jgi.p|Suilu4|1042476	121	49	61	95	44	59
jgi.p|Suilu4|1042538	107	59	75	67	45	47
jgi.p|Suilu4|1045175	28	21	17	39	17	23
jgi.p|Suilu4|10464	0	0	0	0	0	0
jgi.p|Suilu4|10465	0	0	0	0	0	0
jgi.p|Suilu4|10467	3292	2238	2497	2899	1612	1963
jgi.p|Suilu4|10512	54	65	40	70	31	34
jgi.p|Suilu4|10513	711	431	535	493	228	305
jgi.p|Suilu4|105173	0	0	0	0	0	0
jgi.p|Suilu4|1052116	23	16	24	16	13	15
jgi.p|Suilu4|105246	550	363	451	476	292	300
jgi.p|Suilu4|10527	152	82	86	169	76	120
jgi.p|Suilu4|1053200	37	17	14	30	9	22
jgi.p|Suilu4|1053227	13	47	35	8	3	3
jgi.p|Suilu4|105613	0	0	0	0	0	0
jgi.p|Suilu4|105623	0	0	0	0	0	0
jgi.p|Suilu4|105684	0	0	0	0	0	0
jgi.p|Suilu4|1057307	1388	1201	1179	1150	655	701
jgi.p|Suilu4|10576	167	49	85	77	65	71
jgi.p|Suilu4|105799	1084	700	916	741	543	637
jgi.p|Suilu4|105932	353	226	277	266	206	254
jgi.p|Suilu4|106127	75	45	58	60	42	47
jgi.p|Suilu4|1062004	0	1	0	0	0	0
jgi.p|Suilu4|106246	0	0	0	0	0	0
jgi.p|Suilu4|106313	0	0	0	0	0	0
jgi.p|Suilu4|1063432	288	129	158	186	145	198
jgi.p|Suilu4|10638	0	0	0	0	0	0
jgi.p|Suilu4|10639	0	0	0	0	0	0
jgi.p|Suilu4|106419	202	92	132	139	52	74
jgi.p|Suilu4|10642	0	0	0	0	0	0
jgi.p|Suilu4|106420	226	167	155	148	82	93
jgi.p|Suilu4|106445	2203	1113	1480	1982	1023	1198
jgi.p|Suilu4|106512	398	240	255	352	165	229
jgi.p|Suilu4|106594	15	8	12	8	1	11
jgi.p|Suilu4|1066669	573	379	475	516	285	291
jgi.p|Suilu4|10667	1949	1204	1312	1491	810	965
jgi.p|Suilu4|106848	0	0	0	0	0	0
jgi.p|Suilu4|107023	1826	1140	1129	1229	648	709
jgi.p|Suilu4|107028	105	53	65	75	47	44
jgi.p|Suilu4|1070409	0	0	0	0	0	0
jgi.p|Suilu4|10711	2855	1987	2455	2545	1438	1566
jgi.p|Suilu4|10712	350	181	254	263	157	162
jgi.p|Suilu4|1073756	3592	2239	2743	2709	1555	2079
jgi.p|Suilu4|1074661	124	109	137	95	94	99
jgi.p|Suilu4|1074667	783	501	610	769	369	426
jgi.p|Suilu4|1075213	0	4	1	0	1	1
jgi.p|Suilu4|10757	532	375	485	561	294	318
jgi.p|Suilu4|107603	0	0	0	0	0	0
jgi.p|Suilu4|107633	0	2	5	0	1	6
jgi.p|Suilu4|107703	45	13	34	37	35	30
jgi.p|Suilu4|107719	0	0	0	0	0	0
jgi.p|Suilu4|107730	580	582	433	509	248	300
jgi.p|Suilu4|1077578	14	10	15	17	10	9
jgi.p|Suilu4|107813	0	0	0	0	0	0
jgi.p|Suilu4|107840	0	0	0	0	0	0
jgi.p|Suilu4|107841	0	0	0	0	0	0
jgi.p|Suilu4|107948	0	0	0	0	0	0
jgi.p|Suilu4|107949	0	0	0	0	0	0
jgi.p|Suilu4|107951	0	0	0	0	0	0
jgi.p|Suilu4|108059	527	498	350	659	161	223
jgi.p|Suilu4|10847	709	456	465	510	288	346
jgi.p|Suilu4|108488	0	0	0	0	0	0
jgi.p|Suilu4|108502	0	0	0	0	0	0
jgi.p|Suilu4|10854	652	331	420	584	337	482
jgi.p|Suilu4|108553	0	0	0	0	0	0
jgi.p|Suilu4|108622	0	0	0	0	0	0
jgi.p|Suilu4|10863	222	133	159	160	115	120
jgi.p|Suilu4|108648	199	161	187	252	141	207
jgi.p|Suilu4|108662	153	66	107	71	69	50
jgi.p|Suilu4|108667	29	11	19	23	17	16
jgi.p|Suilu4|108689	0	0	0	0	0	0
jgi.p|Suilu4|1087133	24	13	11	8	11	5
jgi.p|Suilu4|10873	384	263	351	346	232	314
jgi.p|Suilu4|1087995	113	89	87	93	41	46
jgi.p|Suilu4|1088222	2	6	3	1	6	6
jgi.p|Suilu4|1088397	24	24	21	14	9	18
jgi.p|Suilu4|108927	0	0	0	0	0	0
jgi.p|Suilu4|108995	0	0	0	0	0	0
jgi.p|Suilu4|108996	0	0	0	0	0	0
jgi.p|Suilu4|108997	0	0	0	0	0	0
jgi.p|Suilu4|109000	0	0	0	0	0	0
jgi.p|Suilu4|109084	0	0	0	0	0	0
jgi.p|Suilu4|109090	0	0	0	0	0	0
jgi.p|Suilu4|1090955	0	0	0	0	0	0
jgi.p|Suilu4|1091014	0	0	0	0	0	2
jgi.p|Suilu4|109170	0	0	0	0	0	0
jgi.p|Suilu4|109171	0	0	0	0	0	0
jgi.p|Suilu4|109194	10	3	6	13	7	5
jgi.p|Suilu4|109226	0	0	0	0	0	0
jgi.p|Suilu4|1092383	15	7	3	13	10	5
jgi.p|Suilu4|109249	121	19	57	32	41	29
jgi.p|Suilu4|109297	0	0	0	0	0	0
jgi.p|Suilu4|109299	0	0	0	0	0	0
jgi.p|Suilu4|109328	1	0	0	1	0	0
jgi.p|Suilu4|1093361	359	237	340	289	201	264
jgi.p|Suilu4|109403	0	0	0	0	0	0
jgi.p|Suilu4|109435	0	0	0	0	0	0
jgi.p|Suilu4|109460	0	2	0	0	0	0
jgi.p|Suilu4|109475	0	0	0	0	0	0
jgi.p|Suilu4|109516	0	0	0	0	0	0
jgi.p|Suilu4|109581	0	0	0	0	0	0
jgi.p|Suilu4|1097602	7582	4486	5110	4590	2625	2886
jgi.p|Suilu4|10982	544	354	371	423	248	275
jgi.p|Suilu4|109859	0	0	0	0	0	0
jgi.p|Suilu4|110014	0	0	0	0	0	0
jgi.p|Suilu4|110062	35	16	20	21	6	11
jgi.p|Suilu4|11009	352	231	236	292	147	169
jgi.p|Suilu4|110122	0	0	0	0	0	0
jgi.p|Suilu4|11019	73	45	35	52	23	30
jgi.p|Suilu4|110195	0	0	0	0	0	0
jgi.p|Suilu4|110198	0	0	0	0	0	0
jgi.p|Suilu4|110289	0	0	0	0	0	0
jgi.p|Suilu4|110405	20	13	18	16	4	8
jgi.p|Suilu4|110412	0	0	0	0	0	0
jgi.p|Suilu4|110421	0	0	0	0	0	0
jgi.p|Suilu4|110422	0	0	0	0	0	0
jgi.p|Suilu4|1104796	12	8	2	4	1	3
jgi.p|Suilu4|110494	0	0	0	0	0	0
jgi.p|Suilu4|1105188	0	0	0	0	0	0
jgi.p|Suilu4|1105231	0	0	1	0	1	1
jgi.p|Suilu4|110535	0	0	0	0	0	0
jgi.p|Suilu4|110568	0	0	0	0	0	0
jgi.p|Suilu4|110580	0	1	0	1	1	0
jgi.p|Suilu4|110587	0	0	0	0	0	0
jgi.p|Suilu4|110608	0	0	0	0	0	0
jgi.p|Suilu4|110630	0	0	0	0	0	0
jgi.p|Suilu4|110674	0	0	0	0	0	0
jgi.p|Suilu4|110686	0	0	0	0	0	0
jgi.p|Suilu4|110703	0	0	0	0	0	0
jgi.p|Suilu4|110742	0	0	0	0	0	0
