GeneID	HZGZB	HZGZC	HZGZG	HZGZH	HZGZN	HZGZO
jgi.p|Suilu4|100001	0	0	0	0	0	0
jgi.p|Suilu4|100059	0	0	0	0	0	0
jgi.p|Suilu4|10006	0	2	1	1	0	2
jgi.p|Suilu4|100080	0	0	0	0	0	0
jgi.p|Suilu4|100092	0	0	0	0	0	0
jgi.p|Suilu4|100098	0	0	0	0	0	0
jgi.p|Suilu4|10017	754	1181	901	1454	1124	1190
jgi.p|Suilu4|100207	0	0	0	0	0	0
jgi.p|Suilu4|100215	0	0	0	0	0	0
jgi.p|Suilu4|100219	0	0	0	0	0	0
jgi.p|Suilu4|100256	0	0	0	0	0	0
jgi.p|Suilu4|100311	0	0	0	0	0	0
jgi.p|Suilu4|100326	0	0	0	0	0	0
jgi.p|Suilu4|100355	0	0	0	0	0	0
jgi.p|Suilu4|100445	0	0	0	0	0	0
jgi.p|Suilu4|100465	0	0	0	0	0	0
jgi.p|Suilu4|100491	5	0	5	2	4	0
jgi.p|Suilu4|100526	307	537	389	617	676	740
jgi.p|Suilu4|100527	0	0	0	0	0	0
jgi.p|Suilu4|100549	0	0	0	0	0	0
jgi.p|Suilu4|100590	0	0	0	0	0	0
jgi.p|Suilu4|100593	0	0	1	0	0	0
jgi.p|Suilu4|100608	0	0	0	0	0	0
jgi.p|Suilu4|100628	0	0	0	0	0	0
jgi.p|Suilu4|100630	0	0	0	0	0	0
jgi.p|Suilu4|100692	0	0	0	0	0	0
jgi.p|Suilu4|100700	0	0	0	0	0	0
jgi.p|Suilu4|100723	0	0	0	0	0	0
jgi.p|Suilu4|100731	0	0	0	0	0	0
jgi.p|Suilu4|100753	0	0	0	0	0	0
jgi.p|Suilu4|100839	0	0	0	0	0	0
jgi.p|Suilu4|100867	0	0	0	0	0	0
jgi.p|Suilu4|100871	0	0	0	0	0	0
jgi.p|Suilu4|100924	0	0	0	0	0	0
jgi.p|Suilu4|100937	0	0	0	0	0	0
jgi.p|Suilu4|10094	754	1368	1220	1247	1208	1373
jgi.p|Suilu4|101025	0	0	0	0	0	0
jgi.p|Suilu4|101036	79	116	93	110	131	101
jgi.p|Suilu4|101052	0	0	0	0	0	0
jgi.p|Suilu4|101126	0	0	0	0	0	0
jgi.p|Suilu4|101193	0	0	0	0	0	0
jgi.p|Suilu4|101201	36	65	47	84	47	84
jgi.p|Suilu4|1013261	402	574	534	684	653	773
jgi.p|Suilu4|101339	0	0	0	0	0	0
jgi.p|Suilu4|101424	0	0	0	0	0	0
jgi.p|Suilu4|1014298	559	587	753	698	586	685
jgi.p|Suilu4|101548	0	0	0	0	0	0
jgi.p|Suilu4|101628	0	0	0	0	0	0
jgi.p|Suilu4|101643	0	0	0	0	0	0
jgi.p|Suilu4|101649	0	0	0	0	0	0
jgi.p|Suilu4|101659	0	0	0	0	0	0
jgi.p|Suilu4|101701	0	1	0	1	0	0
jgi.p|Suilu4|101793	0	0	0	0	0	0
jgi.p|Suilu4|101794	0	0	0	0	0	0
jgi.p|Suilu4|101886	0	0	0	0	0	0
jgi.p|Suilu4|101949	0	0	0	0	0	0
jgi.p|Suilu4|102007	0	0	0	0	0	0
jgi.p|Suilu4|102008	0	0	0	0	0	0
jgi.p|Suilu4|102029	0	0	0	0	0	0
jgi.p|Suilu4|102032	0	0	0	0	0	2
jgi.p|Suilu4|102126	0	0	0	0	0	0
jgi.p|Suilu4|102163	0	0	0	0	0	0
jgi.p|Suilu4|102187	0	0	0	0	0	0
jgi.p|Suilu4|102203	0	0	0	0	0	0
jgi.p|Suilu4|102208	0	0	0	0	0	0
jgi.p|Suilu4|102214	0	0	0	0	0	0
jgi.p|Suilu4|102246	0	1	0	0	0	0
jgi.p|Suilu4|102253	0	0	0	0	0	0
jgi.p|Suilu4|102284	0	0	0	0	0	0
jgi.p|Suilu4|102290	0	0	0	0	0	0
jgi.p|Suilu4|102301	0	0	0	0	0	0
jgi.p|Suilu4|102302	0	0	0	0	0	0
jgi.p|Suilu4|102312	0	0	0	0	0	0
jgi.p|Suilu4|102325	0	0	0	0	0	0
jgi.p|Suilu4|102361	0	0	0	0	0	0
jgi.p|Suilu4|102366	0	0	0	0	0	0
jgi.p|Suilu4|102388	94	136	131	110	126	135
jgi.p|Suilu4|102475	0	0	1	0	1	3
jgi.p|Suilu4|102502	0	0	0	0	0	0
jgi.p|Suilu4|10256	983	1734	1674	1403	1282	1665
jgi.p|Suilu4|102646	0	0	0	0	0	0
jgi.p|Suilu4|102671	0	0	0	0	0	0
jgi.p|Suilu4|102711	0	0	0	0	0	0
jgi.p|Suilu4|102719	0	0	0	0	0	0
jgi.p|Suilu4|1027956	393	522	495	543	428	551
jgi.p|Suilu4|102810	45	56	48	47	59	62
jgi.p|Suilu4|102842	0	0	0	0	0	0
jgi.p|Suilu4|102844	0	0	0	0	0	0
jgi.p|Suilu4|102856	0	0	0	1	0	0
jgi.p|Suilu4|102857	0	0	0	0	0	0
jgi.p|Suilu4|102900	0	0	0	0	0	0
jgi.p|Suilu4|102909	0	0	0	0	0	0
jgi.p|Suilu4|10291	2600	4301	3703	4139	3279	3830
jgi.p|Suilu4|102955	0	0	0	0	0	0
jgi.p|Suilu4|102961	103	111	164	186	162	195
jgi.p|Suilu4|103044	0	0	0	0	0	0
jgi.p|Suilu4|103067	0	0	0	0	0	0
jgi.p|Suilu4|103091	0	0	0	0	0	0
jgi.p|Suilu4|103203	10	13	7	13	11	10
jgi.p|Suilu4|103567	297	400	392	527	391	451
jgi.p|Suilu4|1037566	25	59	64	62	46	54
jgi.p|Suilu4|1037686	27	47	34	30	37	34
jgi.p|Suilu4|103942	12	21	13	11	16	12
jgi.p|Suilu4|103945	327	518	523	444	409	610
jgi.p|Suilu4|1040254	429	887	631	722	712	693
jgi.p|Suilu4|104073	15	20	14	25	13	32
jgi.p|Suilu4|1042247	60	61	81	69	50	65
jgi.p|Suilu4|1042476	110	180	131	117	129	159
jgi.p|Suilu4|1042538	78	110	87	82	64	95
jgi.p|Suilu4|1045175	24	31	32	41	48	53
jgi.p|Suilu4|10464	0	0	0	0	0	0
jgi.p|Suilu4|10465	0	0	0	0	0	0
jgi.p|Suilu4|10467	1421	2358	1983	1822	1539	1925
jgi.p|Suilu4|10512	45	54	73	76	49	73
jgi.p|Suilu4|10513	448	569	651	541	458	575
jgi.p|Suilu4|105173	0	0	0	0	0	1
jgi.p|Suilu4|1052116	32	48	57	56	42	52
jgi.p|Suilu4|105246	322	342	516	447	363	472
jgi.p|Suilu4|10527	85	134	100	122	103	124
jgi.p|Suilu4|1053200	55	86	54	65	61	62
jgi.p|Suilu4|1053227	18	26	20	19	27	31
jgi.p|Suilu4|105613	0	0	0	0	0	0
jgi.p|Suilu4|105623	0	0	0	0	0	0
jgi.p|Suilu4|105684	0	0	0	0	0	0
jgi.p|Suilu4|1057307	1058	2234	1235	887	762	800
jgi.p|Suilu4|10576	47	90	61	92	107	77
jgi.p|Suilu4|105799	492	727	881	701	554	621
jgi.p|Suilu4|105932	191	246	233	245	149	241
jgi.p|Suilu4|106127	27	27	26	37	31	28
jgi.p|Suilu4|1062004	0	0	0	0	0	0
jgi.p|Suilu4|106246	0	0	0	0	0	0
jgi.p|Suilu4|106313	0	0	0	0	0	0
jgi.p|Suilu4|1063432	150	267	205	241	265	300
jgi.p|Suilu4|10638	0	0	0	0	0	0
jgi.p|Suilu4|10639	0	0	0	0	0	0
jgi.p|Suilu4|106419	166	196	206	126	76	88
jgi.p|Suilu4|10642	0	0	0	0	0	0
jgi.p|Suilu4|106420	127	163	175	188	138	152
jgi.p|Suilu4|106445	569	1077	675	807	863	1081
jgi.p|Suilu4|106512	175	299	317	289	246	347
jgi.p|Suilu4|106594	60	77	69	56	52	45
jgi.p|Suilu4|1066669	316	530	412	466	424	512
jgi.p|Suilu4|10667	922	1250	1237	1131	956	1108
jgi.p|Suilu4|106848	0	0	0	0	0	0
jgi.p|Suilu4|107023	1004	1240	1442	1372	1155	1549
jgi.p|Suilu4|107028	64	174	114	100	131	155
jgi.p|Suilu4|1070409	0	0	0	0	0	0
jgi.p|Suilu4|10711	1485	2481	2353	2263	2074	2439
jgi.p|Suilu4|10712	130	232	180	209	149	160
jgi.p|Suilu4|1073756	2420	2698	3344	2982	2364	3295
jgi.p|Suilu4|1074661	210	346	287	284	246	315
jgi.p|Suilu4|1074667	5	9	13	4	9	6
jgi.p|Suilu4|1075213	33	58	59	39	35	47
jgi.p|Suilu4|10757	355	536	486	573	372	619
jgi.p|Suilu4|107603	0	0	0	0	0	0
jgi.p|Suilu4|107633	3	2	0	1	0	1
jgi.p|Suilu4|107703	9	30	17	30	21	37
jgi.p|Suilu4|107719	0	0	0	0	0	0
jgi.p|Suilu4|107730	325	343	511	353	302	327
jgi.p|Suilu4|1077578	9	6	7	10	3	4
jgi.p|Suilu4|107813	0	0	0	0	0	0
jgi.p|Suilu4|107840	0	0	0	0	0	0
jgi.p|Suilu4|107841	0	0	0	0	0	0
jgi.p|Suilu4|107948	0	0	0	0	0	0
jgi.p|Suilu4|107949	0	0	0	0	0	0
jgi.p|Suilu4|107951	0	0	0	0	0	0
jgi.p|Suilu4|108059	186	234	292	280	164	209
jgi.p|Suilu4|10847	325	468	410	406	343	395
jgi.p|Suilu4|108488	0	0	0	0	0	0
jgi.p|Suilu4|108502	0	0	0	0	0	0
jgi.p|Suilu4|10854	332	408	448	640	484	507
jgi.p|Suilu4|108553	9	7	4	16	22	8
jgi.p|Suilu4|108622	0	0	0	0	0	0
jgi.p|Suilu4|10863	107	155	174	185	146	148
jgi.p|Suilu4|108648	176	246	229	309	201	267
jgi.p|Suilu4|108662	0	0	0	0	0	0
jgi.p|Suilu4|108667	0	0	0	0	0	0
jgi.p|Suilu4|108689	115	90	122	173	127	157
jgi.p|Suilu4|1087133	19	43	30	26	25	27
jgi.p|Suilu4|10873	219	387	347	408	299	414
jgi.p|Suilu4|1087995	326	311	472	327	241	351
jgi.p|Suilu4|1088222	14	5	7	5	8	26
jgi.p|Suilu4|1088397	11	16	32	30	31	32
jgi.p|Suilu4|108927	0	0	0	0	0	0
jgi.p|Suilu4|108995	0	0	0	0	0	0
jgi.p|Suilu4|108996	0	0	0	0	0	0
jgi.p|Suilu4|108997	0	0	0	0	0	0
jgi.p|Suilu4|109000	0	0	0	0	0	0
jgi.p|Suilu4|109084	0	0	0	0	0	0
jgi.p|Suilu4|109090	0	0	0	0	0	0
jgi.p|Suilu4|1090955	37	63	58	46	42	49
jgi.p|Suilu4|1091014	0	0	0	0	0	0
jgi.p|Suilu4|109170	0	0	0	0	0	0
jgi.p|Suilu4|109171	0	0	0	0	0	0
jgi.p|Suilu4|109194	0	0	0	1	0	1
jgi.p|Suilu4|109226	0	0	0	0	0	0
jgi.p|Suilu4|1092383	7	10	12	24	17	12
jgi.p|Suilu4|109249	68	413	126	126	174	178
jgi.p|Suilu4|109297	0	0	0	0	0	0
jgi.p|Suilu4|109299	0	0	0	0	0	0
jgi.p|Suilu4|109328	0	0	0	0	0	0
jgi.p|Suilu4|1093361	244	390	281	343	293	393
jgi.p|Suilu4|109403	0	0	0	0	0	0
jgi.p|Suilu4|109435	0	0	0	0	0	0
jgi.p|Suilu4|109460	3	0	2	0	0	0
jgi.p|Suilu4|109475	0	0	0	0	0	0
jgi.p|Suilu4|109516	0	0	0	0	0	0
jgi.p|Suilu4|109581	0	0	0	0	0	0
jgi.p|Suilu4|1097602	3985	4883	6889	5694	4774	5412
jgi.p|Suilu4|10982	283	470	340	408	276	453
jgi.p|Suilu4|109859	0	0	0	0	0	0
jgi.p|Suilu4|110014	0	0	0	0	0	0
jgi.p|Suilu4|110062	8	10	11	15	5	15
jgi.p|Suilu4|11009	280	383	383	463	342	533
jgi.p|Suilu4|110122	0	0	0	0	0	0
jgi.p|Suilu4|11019	48	67	60	64	60	67
jgi.p|Suilu4|110195	0	0	0	0	0	0
jgi.p|Suilu4|110198	0	0	0	0	0	0
jgi.p|Suilu4|110289	0	0	0	0	0	0
jgi.p|Suilu4|110405	36	45	43	39	53	42
jgi.p|Suilu4|110412	0	0	0	0	0	0
jgi.p|Suilu4|110421	0	0	0	0	0	0
jgi.p|Suilu4|110422	0	0	0	0	0	0
jgi.p|Suilu4|1104796	45	89	61	41	72	75
jgi.p|Suilu4|110494	0	0	0	0	0	0
jgi.p|Suilu4|1105188	0	0	0	0	0	1
jgi.p|Suilu4|1105231	37	59	67	53	53	45
jgi.p|Suilu4|110535	0	0	0	0	0	0
jgi.p|Suilu4|110568	0	0	0	0	0	0
jgi.p|Suilu4|110580	0	0	0	0	1	1
jgi.p|Suilu4|110587	0	0	0	0	0	0
jgi.p|Suilu4|110608	0	0	0	0	0	0
jgi.p|Suilu4|110630	0	0	0	0	0	0
jgi.p|Suilu4|110674	0	0	0	0	0	0
jgi.p|Suilu4|110686	0	0	0	0	0	0
jgi.p|Suilu4|110703	0	0	0	0	0	0
jgi.p|Suilu4|110742	0	0	0	0	0	0
