GeneID	HZHAW	HZHAU	HZHAX	HZHAY	HZHAZ	HZHBA
jgi.p|Suilu4|100001	0	0	0	0	0	0
jgi.p|Suilu4|100059	0	0	0	0	0	0
jgi.p|Suilu4|10006	5	4	5	3	1	1
jgi.p|Suilu4|100080	0	0	0	0	0	0
jgi.p|Suilu4|100092	0	0	0	0	0	0
jgi.p|Suilu4|100098	0	0	0	0	0	0
jgi.p|Suilu4|10017	241	755	402	40	16	43
jgi.p|Suilu4|100207	0	0	0	0	0	0
jgi.p|Suilu4|100215	0	0	0	0	0	0
jgi.p|Suilu4|100219	0	0	0	0	0	0
jgi.p|Suilu4|100256	0	0	0	0	0	0
jgi.p|Suilu4|100311	0	0	0	0	0	0
jgi.p|Suilu4|100326	0	0	0	0	0	0
jgi.p|Suilu4|100355	0	0	0	0	0	0
jgi.p|Suilu4|100445	0	0	0	0	0	0
jgi.p|Suilu4|100465	0	0	0	0	0	0
jgi.p|Suilu4|100491	0	0	0	0	0	0
jgi.p|Suilu4|100526	0	1	0	0	0	0
jgi.p|Suilu4|100527	0	0	0	0	0	0
jgi.p|Suilu4|100549	0	0	0	0	0	0
jgi.p|Suilu4|100590	0	0	0	0	0	0
jgi.p|Suilu4|100593	0	0	0	0	0	0
jgi.p|Suilu4|100608	0	0	0	0	0	0
jgi.p|Suilu4|100628	0	0	0	0	0	0
jgi.p|Suilu4|100630	0	0	0	0	0	0
jgi.p|Suilu4|100692	0	0	0	0	0	0
jgi.p|Suilu4|100700	0	0	0	0	0	0
jgi.p|Suilu4|100723	0	1	0	0	0	0
jgi.p|Suilu4|100731	0	0	0	0	0	0
jgi.p|Suilu4|100753	0	0	0	0	0	0
jgi.p|Suilu4|100839	0	0	0	0	0	0
jgi.p|Suilu4|100867	0	0	0	0	0	0
jgi.p|Suilu4|100871	0	0	0	0	0	0
jgi.p|Suilu4|100924	0	0	0	0	0	0
jgi.p|Suilu4|100937	149	173	169	18	6	32
jgi.p|Suilu4|10094	903	1167	915	37	13	81
jgi.p|Suilu4|101025	0	0	0	0	0	0
jgi.p|Suilu4|101036	86	168	123	16	1	18
jgi.p|Suilu4|101052	0	0	0	0	0	0
jgi.p|Suilu4|101126	0	0	0	0	0	0
jgi.p|Suilu4|101193	0	0	0	0	0	0
jgi.p|Suilu4|101201	0	0	0	0	0	0
jgi.p|Suilu4|1013261	145	656	494	124	28	159
jgi.p|Suilu4|101339	0	0	0	0	0	0
jgi.p|Suilu4|101424	0	0	0	0	0	0
jgi.p|Suilu4|1014298	347	687	446	32	7	79
jgi.p|Suilu4|101548	0	0	0	0	0	0
jgi.p|Suilu4|101628	0	0	0	0	0	0
jgi.p|Suilu4|101643	0	0	1	0	0	0
jgi.p|Suilu4|101649	0	0	0	0	0	0
jgi.p|Suilu4|101659	0	0	0	0	0	0
jgi.p|Suilu4|101701	0	0	0	0	0	0
jgi.p|Suilu4|101793	0	0	0	0	0	0
jgi.p|Suilu4|101794	0	0	0	0	0	0
jgi.p|Suilu4|101886	0	0	0	0	0	0
jgi.p|Suilu4|101949	0	0	0	0	0	0
jgi.p|Suilu4|102007	0	0	0	0	0	0
jgi.p|Suilu4|102008	0	0	0	0	0	0
jgi.p|Suilu4|102029	0	0	0	0	0	0
jgi.p|Suilu4|102032	0	0	0	0	0	0
jgi.p|Suilu4|102126	0	0	0	0	0	0
jgi.p|Suilu4|102163	0	0	0	0	0	0
jgi.p|Suilu4|102187	0	0	0	0	0	0
jgi.p|Suilu4|102203	0	0	0	0	0	0
jgi.p|Suilu4|102208	0	0	0	0	0	0
jgi.p|Suilu4|102214	0	0	0	0	0	0
jgi.p|Suilu4|102246	1	0	0	0	0	0
jgi.p|Suilu4|102253	0	0	0	0	0	0
jgi.p|Suilu4|102284	0	0	0	0	0	0
jgi.p|Suilu4|102290	0	0	0	0	0	0
jgi.p|Suilu4|102301	0	0	0	0	0	0
jgi.p|Suilu4|102302	0	0	0	0	0	0
jgi.p|Suilu4|102312	0	0	0	0	0	0
jgi.p|Suilu4|102325	0	0	0	0	0	0
jgi.p|Suilu4|102361	0	0	0	0	0	0
jgi.p|Suilu4|102366	0	0	0	0	0	0
jgi.p|Suilu4|102388	461	444	644	52	16	96
jgi.p|Suilu4|102475	0	0	0	0	0	0
jgi.p|Suilu4|102502	0	0	0	0	0	0
jgi.p|Suilu4|10256	2940	1614	1258	210	64	240
jgi.p|Suilu4|102646	0	0	0	0	0	0
jgi.p|Suilu4|102671	0	0	0	0	0	0
jgi.p|Suilu4|102711	0	0	0	0	0	0
jgi.p|Suilu4|102719	0	0	0	0	0	0
jgi.p|Suilu4|1027956	230	390	317	84	15	138
jgi.p|Suilu4|102810	12	39	22	4	0	6
jgi.p|Suilu4|102842	0	0	0	0	0	0
jgi.p|Suilu4|102844	0	0	0	0	0	0
jgi.p|Suilu4|102856	0	0	0	0	0	0
jgi.p|Suilu4|102857	0	0	0	0	0	0
jgi.p|Suilu4|102900	0	0	0	0	0	0
jgi.p|Suilu4|102909	0	0	0	0	0	0
jgi.p|Suilu4|10291	3005	3450	2767	305	101	616
jgi.p|Suilu4|102955	0	0	0	0	0	0
jgi.p|Suilu4|102961	71	134	119	48	14	74
jgi.p|Suilu4|103044	0	0	0	0	0	0
jgi.p|Suilu4|103067	0	0	0	0	0	0
jgi.p|Suilu4|103091	0	0	0	0	0	0
jgi.p|Suilu4|103203	12	20	15	0	0	1
jgi.p|Suilu4|103567	69	346	210	51	24	171
jgi.p|Suilu4|1037566	1	1	3	2	0	0
jgi.p|Suilu4|1037686	124	70	79	8	1	11
jgi.p|Suilu4|103942	28	46	33	4	0	7
jgi.p|Suilu4|103945	172	293	257	21	12	48
jgi.p|Suilu4|1040254	273	454	306	69	19	114
jgi.p|Suilu4|104073	20	10	30	2	0	3
jgi.p|Suilu4|1042247	44	50	46	5	0	19
jgi.p|Suilu4|1042476	29	22	45	6	2	10
jgi.p|Suilu4|1042538	49	68	57	9	3	19
jgi.p|Suilu4|1045175	8	23	10	3	2	5
jgi.p|Suilu4|10464	0	0	0	0	0	0
jgi.p|Suilu4|10465	0	0	0	0	0	0
jgi.p|Suilu4|10467	2178	2382	1763	251	66	488
jgi.p|Suilu4|10512	33	78	99	11	7	10
jgi.p|Suilu4|10513	401	581	525	81	24	114
jgi.p|Suilu4|105173	0	1	0	0	0	0
jgi.p|Suilu4|1052116	256	193	127	30	5	29
jgi.p|Suilu4|105246	229	369	318	33	8	57
jgi.p|Suilu4|10527	98	117	72	12	11	19
jgi.p|Suilu4|1053200	22	17	15	2	0	8
jgi.p|Suilu4|1053227	159	231	160	24	3	40
jgi.p|Suilu4|105613	0	0	0	0	0	2
jgi.p|Suilu4|105623	0	0	0	0	0	0
jgi.p|Suilu4|105684	0	0	0	0	0	0
jgi.p|Suilu4|1057307	779	1513	905	80	13	123
jgi.p|Suilu4|10576	32	60	35	14	5	15
jgi.p|Suilu4|105799	459	596	514	65	18	129
jgi.p|Suilu4|105932	169	181	156	50	9	64
jgi.p|Suilu4|106127	15	38	36	14	2	10
jgi.p|Suilu4|1062004	0	0	0	0	0	0
jgi.p|Suilu4|106246	0	0	0	0	0	0
jgi.p|Suilu4|106313	0	0	0	0	0	0
jgi.p|Suilu4|1063432	385	225	112	37	9	93
jgi.p|Suilu4|10638	0	0	0	0	0	0
jgi.p|Suilu4|10639	0	0	0	0	0	0
jgi.p|Suilu4|106419	101	71	72	19	9	63
jgi.p|Suilu4|10642	1	0	0	0	0	0
jgi.p|Suilu4|106420	35	96	85	17	5	41
jgi.p|Suilu4|106445	837	1035	632	64	28	128
jgi.p|Suilu4|106512	129	187	171	50	13	73
jgi.p|Suilu4|106594	238	20	35	8	1	8
jgi.p|Suilu4|1066669	288	540	369	42	18	92
jgi.p|Suilu4|10667	1053	1426	1084	157	43	227
jgi.p|Suilu4|106848	0	0	0	0	0	0
jgi.p|Suilu4|107023	1099	1236	1065	105	34	126
jgi.p|Suilu4|107028	55	56	21	4	0	6
jgi.p|Suilu4|1070409	0	0	0	0	0	0
jgi.p|Suilu4|10711	946	2108	1566	164	71	360
jgi.p|Suilu4|10712	104	153	114	35	8	60
jgi.p|Suilu4|1073756	2421	2678	2333	157	51	287
jgi.p|Suilu4|1074661	190	353	241	25	4	39
jgi.p|Suilu4|1074667	14	20	12	3	0	1
jgi.p|Suilu4|1075213	0	0	0	0	0	0
jgi.p|Suilu4|10757	228	515	410	114	48	156
jgi.p|Suilu4|107603	0	0	0	0	0	0
jgi.p|Suilu4|107633	0	2	1	2	0	0
jgi.p|Suilu4|107703	51	24	22	13	2	11
jgi.p|Suilu4|107719	0	0	0	0	0	0
jgi.p|Suilu4|107730	217	131	137	21	2	29
jgi.p|Suilu4|1077578	3	8	26	15	0	4
jgi.p|Suilu4|107813	0	0	0	0	0	0
jgi.p|Suilu4|107840	0	0	0	0	0	0
jgi.p|Suilu4|107841	0	0	0	0	0	0
jgi.p|Suilu4|107948	0	0	0	0	0	0
jgi.p|Suilu4|107949	0	2	0	0	0	0
jgi.p|Suilu4|107951	0	0	0	0	0	0
jgi.p|Suilu4|108059	409	169	245	5	5	19
jgi.p|Suilu4|10847	379	506	380	59	13	134
jgi.p|Suilu4|108488	0	0	0	0	0	0
jgi.p|Suilu4|108502	0	0	0	0	0	0
jgi.p|Suilu4|10854	328	475	328	161	50	559
jgi.p|Suilu4|108553	1	0	0	0	0	0
jgi.p|Suilu4|108622	0	0	0	0	0	0
jgi.p|Suilu4|10863	151	201	149	13	4	26
jgi.p|Suilu4|108648	51	237	162	43	10	100
jgi.p|Suilu4|108662	0	0	0	0	0	0
jgi.p|Suilu4|108667	0	0	0	0	0	0
jgi.p|Suilu4|108689	10	40	31	3	3	9
jgi.p|Suilu4|1087133	14	9	14	0	0	0
jgi.p|Suilu4|10873	156	420	313	37	10	87
jgi.p|Suilu4|1087995	15	59	32	7	1	3
jgi.p|Suilu4|1088222	16	14	6	0	1	1
jgi.p|Suilu4|1088397	7	23	19	2	0	0
jgi.p|Suilu4|108927	0	0	0	0	0	0
jgi.p|Suilu4|108995	0	0	0	0	0	0
jgi.p|Suilu4|108996	0	0	0	0	0	0
jgi.p|Suilu4|108997	0	0	0	0	0	0
jgi.p|Suilu4|109000	0	0	0	0	0	0
jgi.p|Suilu4|109084	0	0	0	0	0	0
jgi.p|Suilu4|109090	0	0	0	0	0	0
jgi.p|Suilu4|1090955	48	96	36	2	0	5
jgi.p|Suilu4|1091014	0	0	0	0	0	0
jgi.p|Suilu4|109170	0	0	0	0	0	0
jgi.p|Suilu4|109171	0	0	0	0	0	0
jgi.p|Suilu4|109194	2	8	10	0	0	0
jgi.p|Suilu4|109226	0	0	0	0	0	0
jgi.p|Suilu4|1092383	0	15	1	0	0	3
jgi.p|Suilu4|109249	65	96	40	3	1	3
jgi.p|Suilu4|109297	0	0	0	0	0	0
jgi.p|Suilu4|109299	0	0	0	0	0	0
jgi.p|Suilu4|109328	0	0	0	0	0	0
jgi.p|Suilu4|1093361	145	407	208	41	8	74
jgi.p|Suilu4|109403	0	0	0	0	0	0
jgi.p|Suilu4|109435	0	0	0	0	0	0
jgi.p|Suilu4|109460	4	1	0	5	0	0
jgi.p|Suilu4|109475	0	0	0	0	0	0
jgi.p|Suilu4|109516	0	0	0	0	0	0
jgi.p|Suilu4|109581	0	0	0	0	0	0
jgi.p|Suilu4|1097602	4616	4691	4634	294	83	567
jgi.p|Suilu4|10982	376	344	240	48	16	60
jgi.p|Suilu4|109859	0	0	0	0	0	0
jgi.p|Suilu4|110014	0	0	0	0	0	0
jgi.p|Suilu4|110062	3	8	7	2	0	1
jgi.p|Suilu4|11009	193	376	324	52	17	74
jgi.p|Suilu4|110122	0	0	0	0	0	0
jgi.p|Suilu4|11019	36	37	34	1	0	8
jgi.p|Suilu4|110195	0	0	0	0	0	0
jgi.p|Suilu4|110198	0	0	0	0	0	0
jgi.p|Suilu4|110289	0	0	0	0	0	0
jgi.p|Suilu4|110405	0	0	0	0	0	0
jgi.p|Suilu4|110412	0	0	0	0	0	0
jgi.p|Suilu4|110421	0	0	0	0	0	0
jgi.p|Suilu4|110422	0	0	0	0	0	0
jgi.p|Suilu4|1104796	5	10	5	0	0	1
jgi.p|Suilu4|110494	0	0	0	0	0	0
jgi.p|Suilu4|1105188	0	3	3	0	0	0
jgi.p|Suilu4|1105231	0	5	0	1	0	0
jgi.p|Suilu4|110535	0	0	0	0	0	0
jgi.p|Suilu4|110568	0	0	0	0	0	0
jgi.p|Suilu4|110580	0	0	1	0	0	0
jgi.p|Suilu4|110587	0	0	0	0	0	0
jgi.p|Suilu4|110608	0	0	0	0	0	0
jgi.p|Suilu4|110630	0	0	0	0	0	0
jgi.p|Suilu4|110674	0	0	0	0	0	0
jgi.p|Suilu4|110686	0	0	0	0	0	0
jgi.p|Suilu4|110703	0	0	0	0	0	0
jgi.p|Suilu4|110742	0	0	0	0	0	0
jgi.p|Suilu4|110787	0	0	0	0	0	0
