GeneID	HZHAH	HZHAN	HZHAO	HZHAP	HZHAS	HZHAT
jgi.p|Suilu4|100001	0	0	0	0	0	0
jgi.p|Suilu4|100059	0	0	0	0	0	0
jgi.p|Suilu4|10006	2	2	3	0	0	1
jgi.p|Suilu4|100080	0	0	0	0	0	0
jgi.p|Suilu4|100092	0	0	0	0	0	0
jgi.p|Suilu4|100098	0	0	0	0	0	0
jgi.p|Suilu4|10017	630	355	583	758	788	726
jgi.p|Suilu4|100207	0	0	0	0	0	0
jgi.p|Suilu4|100215	0	0	0	0	0	0
jgi.p|Suilu4|100219	0	0	0	0	0	0
jgi.p|Suilu4|100256	0	0	0	0	0	0
jgi.p|Suilu4|100311	0	0	0	0	0	0
jgi.p|Suilu4|100326	0	0	0	0	0	0
jgi.p|Suilu4|100355	0	1	0	1	0	0
jgi.p|Suilu4|100445	0	0	0	0	0	0
jgi.p|Suilu4|100465	0	0	0	0	0	0
jgi.p|Suilu4|100491	0	0	0	0	0	0
jgi.p|Suilu4|100526	1	3	2	8	14	3
jgi.p|Suilu4|100527	0	0	0	0	0	0
jgi.p|Suilu4|100549	0	0	0	0	0	0
jgi.p|Suilu4|100590	0	0	0	0	0	0
jgi.p|Suilu4|100593	271	250	239	301	239	369
jgi.p|Suilu4|100608	0	0	0	0	0	0
jgi.p|Suilu4|100628	0	0	0	0	0	0
jgi.p|Suilu4|100630	0	0	0	0	0	0
jgi.p|Suilu4|100692	0	0	0	0	0	0
jgi.p|Suilu4|100700	0	0	0	0	0	0
jgi.p|Suilu4|100723	0	0	0	0	0	0
jgi.p|Suilu4|100731	0	0	0	0	0	0
jgi.p|Suilu4|100753	0	0	0	0	0	0
jgi.p|Suilu4|100839	0	0	0	0	0	0
jgi.p|Suilu4|100867	0	0	0	0	0	0
jgi.p|Suilu4|100871	0	0	0	0	0	0
jgi.p|Suilu4|100924	0	0	0	0	0	0
jgi.p|Suilu4|100937	57	70	61	62	59	82
jgi.p|Suilu4|10094	752	1090	1108	1050	1112	921
jgi.p|Suilu4|101025	0	0	0	0	0	0
jgi.p|Suilu4|101036	35	31	32	57	49	58
jgi.p|Suilu4|101052	0	0	0	0	0	0
jgi.p|Suilu4|101126	0	0	0	0	0	0
jgi.p|Suilu4|101193	0	0	0	0	0	0
jgi.p|Suilu4|101201	324	334	298	279	290	400
jgi.p|Suilu4|1013261	815	442	576	695	778	815
jgi.p|Suilu4|101339	0	0	0	0	0	0
jgi.p|Suilu4|101424	0	0	0	0	0	0
jgi.p|Suilu4|1014298	236	334	229	354	390	300
jgi.p|Suilu4|101548	0	0	0	0	0	0
jgi.p|Suilu4|101628	0	0	0	0	0	0
jgi.p|Suilu4|101643	0	0	0	0	0	0
jgi.p|Suilu4|101649	0	0	0	0	0	0
jgi.p|Suilu4|101659	0	0	0	0	0	0
jgi.p|Suilu4|101701	11	44	14	12	10	12
jgi.p|Suilu4|101793	0	0	0	0	0	0
jgi.p|Suilu4|101794	0	0	0	0	0	0
jgi.p|Suilu4|101886	0	0	1	0	0	0
jgi.p|Suilu4|101949	0	0	0	0	0	0
jgi.p|Suilu4|102007	0	0	0	0	0	0
jgi.p|Suilu4|102008	0	0	0	0	0	0
jgi.p|Suilu4|102029	0	0	0	0	0	0
jgi.p|Suilu4|102032	1	0	0	0	1	2
jgi.p|Suilu4|102126	85	60	75	65	67	46
jgi.p|Suilu4|102163	0	0	0	0	0	0
jgi.p|Suilu4|102187	0	0	0	0	0	0
jgi.p|Suilu4|102203	0	0	0	0	0	0
jgi.p|Suilu4|102208	0	0	0	0	0	0
jgi.p|Suilu4|102214	0	0	0	0	0	0
jgi.p|Suilu4|102246	0	1	0	0	2	0
jgi.p|Suilu4|102253	0	0	0	0	0	0
jgi.p|Suilu4|102284	84	257	112	189	215	198
jgi.p|Suilu4|102290	0	0	0	0	0	0
jgi.p|Suilu4|102301	0	0	0	0	0	0
jgi.p|Suilu4|102302	0	0	0	0	0	0
jgi.p|Suilu4|102312	0	0	0	0	0	0
jgi.p|Suilu4|102325	0	0	0	0	0	0
jgi.p|Suilu4|102361	0	0	0	0	0	0
jgi.p|Suilu4|102366	0	0	0	0	0	0
jgi.p|Suilu4|102388	0	0	0	0	0	0
jgi.p|Suilu4|102475	0	0	0	0	0	0
jgi.p|Suilu4|102502	0	0	0	0	0	0
jgi.p|Suilu4|10256	1337	3232	1206	1792	2050	1239
jgi.p|Suilu4|102646	0	0	0	0	0	0
jgi.p|Suilu4|102671	0	0	0	0	0	0
jgi.p|Suilu4|102711	0	0	0	0	0	0
jgi.p|Suilu4|102719	0	0	0	0	0	0
jgi.p|Suilu4|1027956	266	212	185	437	444	399
jgi.p|Suilu4|102810	27	33	28	24	38	34
jgi.p|Suilu4|102842	0	0	0	0	0	0
jgi.p|Suilu4|102844	0	0	0	0	0	0
jgi.p|Suilu4|102856	0	0	0	0	0	0
jgi.p|Suilu4|102857	0	0	0	0	0	0
jgi.p|Suilu4|102900	0	0	0	0	0	0
jgi.p|Suilu4|102909	0	0	0	0	0	0
jgi.p|Suilu4|10291	3760	4910	3539	4096	4290	2505
jgi.p|Suilu4|102955	0	0	0	0	0	0
jgi.p|Suilu4|102961	142	110	124	168	155	156
jgi.p|Suilu4|103044	0	0	0	0	0	0
jgi.p|Suilu4|103067	0	0	0	0	0	0
jgi.p|Suilu4|103091	0	0	0	0	0	0
jgi.p|Suilu4|103203	0	0	0	0	0	0
jgi.p|Suilu4|103567	638	212	325	644	591	1159
jgi.p|Suilu4|1037566	19	12	12	27	11	30
jgi.p|Suilu4|1037686	55	73	41	62	61	80
jgi.p|Suilu4|103942	7	2	11	2	3	7
jgi.p|Suilu4|103945	250	291	258	247	233	223
jgi.p|Suilu4|1040254	602	333	702	826	836	661
jgi.p|Suilu4|104073	133	91	110	181	205	261
jgi.p|Suilu4|1042247	57	59	45	48	58	44
jgi.p|Suilu4|1042476	44	27	57	47	67	45
jgi.p|Suilu4|1042538	83	100	85	95	80	67
jgi.p|Suilu4|1045175	11	13	14	107	85	110
jgi.p|Suilu4|10464	0	0	0	0	0	0
jgi.p|Suilu4|10465	0	0	0	0	0	0
jgi.p|Suilu4|10467	2751	3232	2562	2829	2649	3123
jgi.p|Suilu4|10512	42	27	27	21	29	27
jgi.p|Suilu4|10513	528	702	509	591	600	631
jgi.p|Suilu4|105173	0	0	0	0	0	0
jgi.p|Suilu4|1052116	64	148	82	150	164	167
jgi.p|Suilu4|105246	390	399	439	278	342	284
jgi.p|Suilu4|10527	62	111	86	117	106	107
jgi.p|Suilu4|1053200	19	17	24	40	72	91
jgi.p|Suilu4|1053227	35	68	37	55	62	55
jgi.p|Suilu4|105613	2	1	1	2	3	4
jgi.p|Suilu4|105623	0	0	0	0	0	0
jgi.p|Suilu4|105684	0	0	0	0	0	0
jgi.p|Suilu4|1057307	952	622	1082	1807	1366	969
jgi.p|Suilu4|10576	29	37	47	124	81	80
jgi.p|Suilu4|105799	846	591	518	613	762	431
jgi.p|Suilu4|105932	457	557	543	589	587	743
jgi.p|Suilu4|106127	27	25	12	32	28	85
jgi.p|Suilu4|1062004	0	0	0	0	0	0
jgi.p|Suilu4|106246	0	0	0	0	0	0
jgi.p|Suilu4|106313	0	0	0	0	0	0
jgi.p|Suilu4|1063432	86	329	84	241	197	276
jgi.p|Suilu4|10638	0	0	0	0	0	0
jgi.p|Suilu4|10639	0	0	0	0	0	0
jgi.p|Suilu4|106419	422	192	671	702	583	413
jgi.p|Suilu4|10642	0	0	0	0	0	0
jgi.p|Suilu4|106420	440	311	371	820	784	684
jgi.p|Suilu4|106445	1459	2103	2127	1305	1327	1107
jgi.p|Suilu4|106512	364	340	407	417	451	404
jgi.p|Suilu4|106594	17	42	25	39	52	31
jgi.p|Suilu4|1066669	397	375	332	299	299	507
jgi.p|Suilu4|10667	1064	1254	1075	1200	1277	1158
jgi.p|Suilu4|106848	0	0	0	0	0	0
jgi.p|Suilu4|107023	1113	2108	1112	1010	953	973
jgi.p|Suilu4|107028	68	136	105	88	90	85
jgi.p|Suilu4|1070409	2	1	0	0	1	1
jgi.p|Suilu4|10711	2129	1663	1614	1745	1667	1955
jgi.p|Suilu4|10712	142	147	151	162	123	119
jgi.p|Suilu4|1073756	1433	3204	1450	2080	2376	2050
jgi.p|Suilu4|1074661	107	97	79	82	116	122
jgi.p|Suilu4|1074667	278	357	223	224	235	212
jgi.p|Suilu4|1075213	0	0	0	0	0	0
jgi.p|Suilu4|10757	461	357	495	752	789	1018
jgi.p|Suilu4|107603	0	0	0	0	0	0
jgi.p|Suilu4|107633	0	0	0	1	0	1
jgi.p|Suilu4|107703	31	40	35	75	98	87
jgi.p|Suilu4|107719	0	0	0	0	0	0
jgi.p|Suilu4|107730	281	415	382	450	332	318
jgi.p|Suilu4|1077578	563	908	544	504	705	493
jgi.p|Suilu4|107813	0	0	0	0	0	0
jgi.p|Suilu4|107840	0	0	0	0	0	0
jgi.p|Suilu4|107841	0	0	0	0	0	0
jgi.p|Suilu4|107948	0	0	0	0	1	0
jgi.p|Suilu4|107949	0	0	0	0	0	0
jgi.p|Suilu4|107951	0	0	0	0	0	0
jgi.p|Suilu4|108059	208	319	405	960	515	388
jgi.p|Suilu4|10847	689	793	752	419	426	403
jgi.p|Suilu4|108488	0	0	0	0	0	0
jgi.p|Suilu4|108502	0	0	0	0	0	0
jgi.p|Suilu4|10854	1703	1235	1340	2876	2261	2551
jgi.p|Suilu4|108553	0	0	1	0	0	0
jgi.p|Suilu4|108622	0	0	0	0	0	0
jgi.p|Suilu4|10863	278	566	283	196	241	220
jgi.p|Suilu4|108648	184	98	105	307	340	416
jgi.p|Suilu4|108662	0	0	0	0	0	0
jgi.p|Suilu4|108667	0	0	0	0	0	0
jgi.p|Suilu4|108689	188	200	173	291	334	327
jgi.p|Suilu4|1087133	22	31	29	19	10	8
jgi.p|Suilu4|10873	386	365	332	346	395	410
jgi.p|Suilu4|1087995	66	87	57	68	55	38
jgi.p|Suilu4|1088222	1	2	4	1	1	2
jgi.p|Suilu4|1088397	29	16	18	16	24	31
jgi.p|Suilu4|108927	0	0	0	0	0	0
jgi.p|Suilu4|108995	0	0	0	0	0	0
jgi.p|Suilu4|108996	0	0	0	0	0	0
jgi.p|Suilu4|108997	0	0	0	0	0	0
jgi.p|Suilu4|109000	0	0	0	0	0	0
jgi.p|Suilu4|109084	0	0	0	0	0	0
jgi.p|Suilu4|109090	0	0	0	0	0	0
jgi.p|Suilu4|1090955	43	20	29	28	27	12
jgi.p|Suilu4|1091014	5	2	4	7	5	5
jgi.p|Suilu4|109170	0	0	0	0	0	0
jgi.p|Suilu4|109171	0	0	0	0	0	0
jgi.p|Suilu4|109194	16	6	17	8	4	10
jgi.p|Suilu4|109226	0	0	0	0	0	0
jgi.p|Suilu4|1092383	5	5	5	6	12	24
jgi.p|Suilu4|109249	22	56	18	10	13	10
jgi.p|Suilu4|109297	0	0	0	0	0	0
jgi.p|Suilu4|109299	0	0	0	0	0	0
jgi.p|Suilu4|109328	1007	1931	1141	2085	2124	1971
jgi.p|Suilu4|1093361	232	230	221	214	202	279
jgi.p|Suilu4|109403	0	0	0	0	0	0
jgi.p|Suilu4|109435	0	0	0	0	0	0
jgi.p|Suilu4|109460	1	0	0	1	0	0
jgi.p|Suilu4|109475	0	0	0	0	0	0
jgi.p|Suilu4|109516	0	0	0	0	0	0
jgi.p|Suilu4|109581	0	0	0	0	0	0
jgi.p|Suilu4|1097602	4346	7207	4304	3456	3834	2622
jgi.p|Suilu4|10982	331	454	364	343	361	410
jgi.p|Suilu4|109859	0	0	0	0	0	0
jgi.p|Suilu4|110014	0	0	0	0	0	0
jgi.p|Suilu4|110062	7	8	9	6	11	12
jgi.p|Suilu4|11009	320	329	279	246	248	341
jgi.p|Suilu4|110122	0	0	0	0	0	0
jgi.p|Suilu4|11019	17	37	21	24	18	20
jgi.p|Suilu4|110195	0	0	0	0	0	0
jgi.p|Suilu4|110198	0	0	0	0	0	0
jgi.p|Suilu4|110289	0	0	0	0	0	0
jgi.p|Suilu4|110405	1	0	1	0	0	0
jgi.p|Suilu4|110412	0	0	0	0	0	0
jgi.p|Suilu4|110421	0	0	0	0	0	0
jgi.p|Suilu4|110422	0	0	0	0	0	0
jgi.p|Suilu4|1104796	13	29	12	29	27	19
jgi.p|Suilu4|110494	0	0	0	0	0	0
jgi.p|Suilu4|1105188	0	0	0	0	0	0
jgi.p|Suilu4|1105231	43	46	24	24	22	40
jgi.p|Suilu4|110535	0	0	0	0	0	0
jgi.p|Suilu4|110568	0	0	0	0	0	0
jgi.p|Suilu4|110580	1	0	0	0	0	0
jgi.p|Suilu4|110587	0	0	0	0	0	0
jgi.p|Suilu4|110608	0	0	0	0	0	0
jgi.p|Suilu4|110630	0	0	0	0	0	0
jgi.p|Suilu4|110674	0	0	0	0	0	0
jgi.p|Suilu4|110686	0	0	0	0	0	0
jgi.p|Suilu4|110703	0	0	0	0	0	0
jgi.p|Suilu4|110742	0	0	0	0	0	0
