GeneID	HZHBT	HZHBP	HZHBS	HZHBU	HZHBW	HZHBX
jgi.p|Suilu4|100001	0	0	0	0	0	0
jgi.p|Suilu4|100059	0	0	0	0	0	0
jgi.p|Suilu4|10006	0	0	0	0	0	1
jgi.p|Suilu4|100080	0	0	0	0	0	0
jgi.p|Suilu4|100092	0	0	0	0	0	0
jgi.p|Suilu4|100098	0	0	0	0	0	0
jgi.p|Suilu4|10017	925	1252	704	306	286	347
jgi.p|Suilu4|100207	0	0	0	0	0	0
jgi.p|Suilu4|100215	0	0	0	0	0	0
jgi.p|Suilu4|100219	0	0	0	0	0	0
jgi.p|Suilu4|100256	0	0	0	0	0	0
jgi.p|Suilu4|100311	0	0	0	0	0	0
jgi.p|Suilu4|100326	0	0	0	0	0	0
jgi.p|Suilu4|100355	0	1	0	0	0	0
jgi.p|Suilu4|100445	0	0	0	0	0	0
jgi.p|Suilu4|100465	0	0	0	0	0	0
jgi.p|Suilu4|100491	0	0	0	0	0	0
jgi.p|Suilu4|100526	1	4	0	2	1	0
jgi.p|Suilu4|100527	0	0	0	0	0	0
jgi.p|Suilu4|100549	0	0	0	0	0	0
jgi.p|Suilu4|100590	0	0	0	0	0	0
jgi.p|Suilu4|100593	0	0	0	0	0	0
jgi.p|Suilu4|100608	0	0	0	0	0	0
jgi.p|Suilu4|100628	0	0	0	0	0	0
jgi.p|Suilu4|100630	0	0	0	0	0	0
jgi.p|Suilu4|100692	0	0	0	0	0	0
jgi.p|Suilu4|100700	0	0	0	0	0	0
jgi.p|Suilu4|100723	2	0	0	0	0	0
jgi.p|Suilu4|100731	0	0	0	0	0	0
jgi.p|Suilu4|100753	0	0	0	0	0	0
jgi.p|Suilu4|100839	0	0	0	0	0	0
jgi.p|Suilu4|100867	0	0	0	0	0	0
jgi.p|Suilu4|100871	0	0	0	0	0	0
jgi.p|Suilu4|100924	0	0	0	0	0	0
jgi.p|Suilu4|100937	0	0	0	0	0	0
jgi.p|Suilu4|10094	662	544	431	552	614	361
jgi.p|Suilu4|101025	0	0	0	0	0	0
jgi.p|Suilu4|101036	247	317	204	189	277	200
jgi.p|Suilu4|101052	0	0	0	0	0	0
jgi.p|Suilu4|101126	0	0	0	0	0	0
jgi.p|Suilu4|101193	0	0	0	0	0	0
jgi.p|Suilu4|101201	0	0	0	0	0	0
jgi.p|Suilu4|1013261	429	587	379	932	1104	1239
jgi.p|Suilu4|101339	0	0	0	0	0	0
jgi.p|Suilu4|101424	0	0	0	0	0	0
jgi.p|Suilu4|1014298	241	477	340	285	329	396
jgi.p|Suilu4|101548	0	0	0	0	0	0
jgi.p|Suilu4|101628	0	0	0	0	0	0
jgi.p|Suilu4|101643	0	0	0	0	0	0
jgi.p|Suilu4|101649	0	0	0	0	0	0
jgi.p|Suilu4|101659	0	0	0	0	0	0
jgi.p|Suilu4|101701	0	0	0	0	0	0
jgi.p|Suilu4|101793	0	0	0	0	0	0
jgi.p|Suilu4|101794	0	0	0	0	0	0
jgi.p|Suilu4|101886	0	0	0	0	0	0
jgi.p|Suilu4|101949	0	0	0	0	0	0
jgi.p|Suilu4|102007	0	0	0	0	0	0
jgi.p|Suilu4|102008	0	0	0	0	0	0
jgi.p|Suilu4|102029	0	0	0	0	0	0
jgi.p|Suilu4|102032	0	0	0	0	0	0
jgi.p|Suilu4|102126	0	0	0	0	0	0
jgi.p|Suilu4|102163	10	68	37	9	7	9
jgi.p|Suilu4|102187	0	0	0	0	0	0
jgi.p|Suilu4|102203	0	0	0	0	0	0
jgi.p|Suilu4|102208	0	0	0	0	0	0
jgi.p|Suilu4|102214	0	0	0	0	0	0
jgi.p|Suilu4|102246	0	0	0	0	0	0
jgi.p|Suilu4|102253	0	0	0	0	0	0
jgi.p|Suilu4|102284	0	0	0	0	0	0
jgi.p|Suilu4|102290	0	0	0	0	0	0
jgi.p|Suilu4|102301	0	0	0	0	0	0
jgi.p|Suilu4|102302	0	0	0	0	0	0
jgi.p|Suilu4|102312	0	0	0	0	0	0
jgi.p|Suilu4|102325	0	0	0	0	0	0
jgi.p|Suilu4|102361	0	0	0	0	0	0
jgi.p|Suilu4|102366	0	0	0	0	0	0
jgi.p|Suilu4|102388	1338	2057	1435	1305	960	1196
jgi.p|Suilu4|102475	0	0	0	0	0	0
jgi.p|Suilu4|102502	0	0	0	0	0	0
jgi.p|Suilu4|10256	928	3377	2871	1561	1098	1065
jgi.p|Suilu4|102646	0	0	0	0	0	0
jgi.p|Suilu4|102671	0	0	0	0	0	0
jgi.p|Suilu4|102711	0	0	0	0	0	0
jgi.p|Suilu4|102719	0	0	0	0	0	0
jgi.p|Suilu4|1027956	204	418	320	215	265	361
jgi.p|Suilu4|102810	25	66	38	43	51	65
jgi.p|Suilu4|102842	0	0	0	0	0	0
jgi.p|Suilu4|102844	0	0	0	0	0	0
jgi.p|Suilu4|102856	0	0	0	0	0	0
jgi.p|Suilu4|102857	0	0	0	0	0	0
jgi.p|Suilu4|102900	0	0	0	0	0	0
jgi.p|Suilu4|102909	0	0	0	0	0	0
jgi.p|Suilu4|10291	3854	8472	6231	3689	3351	4003
jgi.p|Suilu4|102955	0	0	0	0	0	0
jgi.p|Suilu4|102961	144	273	205	192	185	237
jgi.p|Suilu4|103044	0	0	0	0	0	0
jgi.p|Suilu4|103067	0	0	0	0	0	0
jgi.p|Suilu4|103091	0	0	0	0	0	0
jgi.p|Suilu4|103203	0	0	0	0	2	0
jgi.p|Suilu4|103567	759	489	286	604	668	1086
jgi.p|Suilu4|1037566	0	0	0	0	0	0
jgi.p|Suilu4|1037686	26	79	57	32	39	41
jgi.p|Suilu4|103942	86	102	73	82	168	128
jgi.p|Suilu4|103945	59	103	53	54	104	70
jgi.p|Suilu4|1040254	396	607	321	260	207	389
jgi.p|Suilu4|104073	17	12	6	12	15	17
jgi.p|Suilu4|1042247	35	86	77	25	34	40
jgi.p|Suilu4|1042476	31	51	40	20	28	44
jgi.p|Suilu4|1042538	42	104	92	40	19	52
jgi.p|Suilu4|1045175	0	0	0	0	0	0
jgi.p|Suilu4|10464	0	0	0	0	0	0
jgi.p|Suilu4|10465	0	0	0	0	0	0
jgi.p|Suilu4|10467	2115	5333	3421	1880	2262	2392
jgi.p|Suilu4|10512	38	30	51	61	75	79
jgi.p|Suilu4|10513	810	1642	1440	1372	1374	1498
jgi.p|Suilu4|105173	14	42	32	31	37	48
jgi.p|Suilu4|1052116	18	38	20	23	42	39
jgi.p|Suilu4|105246	311	792	501	321	401	454
jgi.p|Suilu4|10527	209	123	77	75	109	77
jgi.p|Suilu4|1053200	175	5	7	40	53	6
jgi.p|Suilu4|1053227	12	11	18	17	11	9
jgi.p|Suilu4|105613	7	2	1	0	1	2
jgi.p|Suilu4|105623	0	0	0	0	0	0
jgi.p|Suilu4|105684	0	0	0	0	0	0
jgi.p|Suilu4|1057307	445	1217	742	400	541	717
jgi.p|Suilu4|10576	75	117	84	68	112	115
jgi.p|Suilu4|105799	301	1009	728	260	239	302
jgi.p|Suilu4|105932	555	651	534	259	421	498
jgi.p|Suilu4|106127	33	80	52	46	55	73
jgi.p|Suilu4|1062004	0	0	0	0	0	0
jgi.p|Suilu4|106246	0	0	0	0	0	0
jgi.p|Suilu4|106313	1	0	0	0	0	0
jgi.p|Suilu4|1063432	282	389	179	92	97	156
jgi.p|Suilu4|10638	0	0	0	0	0	0
jgi.p|Suilu4|10639	0	0	0	0	0	0
jgi.p|Suilu4|106419	212	460	426	222	354	297
jgi.p|Suilu4|10642	0	0	0	0	0	0
jgi.p|Suilu4|106420	25	74	72	56	133	107
jgi.p|Suilu4|106445	108	282	122	88	120	65
jgi.p|Suilu4|106512	480	797	622	398	440	627
jgi.p|Suilu4|106594	0	0	8	12	8	2
jgi.p|Suilu4|1066669	452	638	485	360	474	612
jgi.p|Suilu4|10667	1695	2490	1675	1562	2071	1983
jgi.p|Suilu4|106848	0	0	0	0	0	0
jgi.p|Suilu4|107023	814	1188	1074	981	999	943
jgi.p|Suilu4|107028	119	291	156	123	112	98
jgi.p|Suilu4|1070409	14	44	39	32	41	34
jgi.p|Suilu4|10711	2561	3214	1858	1912	2014	2663
jgi.p|Suilu4|10712	382	767	571	322	294	400
jgi.p|Suilu4|1073756	1218	3631	2510	1628	1984	1499
jgi.p|Suilu4|1074661	76	340	195	118	194	211
jgi.p|Suilu4|1074667	4	4	4	6	5	3
jgi.p|Suilu4|1075213	0	0	0	0	0	0
jgi.p|Suilu4|10757	470	444	314	608	726	846
jgi.p|Suilu4|107603	0	0	0	0	0	0
jgi.p|Suilu4|107633	0	1	0	0	1	1
jgi.p|Suilu4|107703	83	64	28	64	82	39
jgi.p|Suilu4|107719	0	0	0	0	0	0
jgi.p|Suilu4|107730	303	867	632	331	377	469
jgi.p|Suilu4|1077578	1557	2831	1887	1281	1270	1362
jgi.p|Suilu4|107813	0	0	0	0	0	0
jgi.p|Suilu4|107840	0	0	0	0	0	0
jgi.p|Suilu4|107841	0	0	0	0	0	0
jgi.p|Suilu4|107948	0	0	0	0	0	0
jgi.p|Suilu4|107949	0	0	0	0	0	0
jgi.p|Suilu4|107951	0	0	0	0	0	0
jgi.p|Suilu4|108059	150	207	194	104	185	114
jgi.p|Suilu4|10847	389	708	442	166	143	224
jgi.p|Suilu4|108488	0	0	0	0	0	0
jgi.p|Suilu4|108502	0	0	0	0	0	0
jgi.p|Suilu4|10854	363	1466	671	389	369	493
jgi.p|Suilu4|108553	1	2	0	0	1	0
jgi.p|Suilu4|108622	0	0	0	0	0	0
jgi.p|Suilu4|10863	95	227	184	176	167	172
jgi.p|Suilu4|108648	207	381	315	217	221	346
jgi.p|Suilu4|108662	0	0	0	0	0	0
jgi.p|Suilu4|108667	0	0	0	0	0	0
jgi.p|Suilu4|108689	123	183	177	179	264	308
jgi.p|Suilu4|1087133	14	57	27	27	17	24
jgi.p|Suilu4|10873	437	886	630	514	532	545
jgi.p|Suilu4|1087995	195	276	144	147	221	194
jgi.p|Suilu4|1088222	11	10	3	9	16	11
jgi.p|Suilu4|1088397	6	13	8	23	18	11
jgi.p|Suilu4|108927	0	0	0	0	0	0
jgi.p|Suilu4|108995	0	0	0	0	0	0
jgi.p|Suilu4|108996	0	0	0	0	0	0
jgi.p|Suilu4|108997	0	0	0	0	0	0
jgi.p|Suilu4|109000	0	0	0	0	0	0
jgi.p|Suilu4|109084	0	0	0	0	0	0
jgi.p|Suilu4|109090	0	0	0	0	0	0
jgi.p|Suilu4|1090955	24	57	30	17	20	26
jgi.p|Suilu4|1091014	15	27	3	19	23	12
jgi.p|Suilu4|109170	0	0	0	0	0	0
jgi.p|Suilu4|109171	0	0	0	0	0	0
jgi.p|Suilu4|109194	20	3	5	6	8	6
jgi.p|Suilu4|109226	0	0	0	0	0	0
jgi.p|Suilu4|1092383	0	1	0	0	5	2
jgi.p|Suilu4|109249	7	2	5	5	10	4
jgi.p|Suilu4|109297	0	0	0	0	0	0
jgi.p|Suilu4|109299	0	0	0	0	0	0
jgi.p|Suilu4|109328	64	82	73	43	62	84
jgi.p|Suilu4|1093361	280	521	327	285	326	334
jgi.p|Suilu4|109403	0	0	0	0	0	0
jgi.p|Suilu4|109435	0	0	0	0	0	0
jgi.p|Suilu4|109460	0	1	0	0	2	0
jgi.p|Suilu4|109475	0	0	0	0	0	0
jgi.p|Suilu4|109516	0	0	0	0	0	0
jgi.p|Suilu4|109581	0	0	0	0	0	0
jgi.p|Suilu4|1097602	2681	4753	4384	2723	2169	2221
jgi.p|Suilu4|10982	322	620	411	483	655	697
jgi.p|Suilu4|109859	0	0	0	0	0	0
jgi.p|Suilu4|110014	0	0	0	0	0	0
jgi.p|Suilu4|110062	14	7	10	9	23	22
jgi.p|Suilu4|11009	265	367	283	189	261	326
jgi.p|Suilu4|110122	0	0	0	0	0	0
jgi.p|Suilu4|11019	7	28	15	20	13	14
jgi.p|Suilu4|110195	0	0	0	0	0	0
jgi.p|Suilu4|110198	0	0	0	0	0	0
jgi.p|Suilu4|110289	0	0	0	0	0	0
jgi.p|Suilu4|110405	25	41	27	30	22	27
jgi.p|Suilu4|110412	0	0	0	0	0	0
jgi.p|Suilu4|110421	0	0	0	0	0	0
jgi.p|Suilu4|110422	0	0	0	0	0	0
jgi.p|Suilu4|1104796	42	98	40	56	97	75
jgi.p|Suilu4|110494	0	0	0	0	0	0
jgi.p|Suilu4|1105188	0	0	0	0	0	0
jgi.p|Suilu4|1105231	42	69	59	55	67	74
jgi.p|Suilu4|110535	0	0	0	0	0	0
jgi.p|Suilu4|110568	0	0	0	0	0	0
jgi.p|Suilu4|110580	0	0	0	2	0	0
jgi.p|Suilu4|110587	0	0	0	0	0	0
jgi.p|Suilu4|110608	0	0	0	0	0	0
jgi.p|Suilu4|110630	0	0	0	0	0	0
jgi.p|Suilu4|110674	0	0	0	0	0	0
jgi.p|Suilu4|110686	0	0	0	0	0	0
jgi.p|Suilu4|110703	0	0	0	0	0	0
jgi.p|Suilu4|110742	0	0	0	0	0	0
