GeneID	HZGZY	HZGZZ	HZHAA	HZHAB	HZHAC	HZHAG
jgi.p|Suilu4|100001	0	0	0	0	0	0
jgi.p|Suilu4|100059	0	0	0	0	2	0
jgi.p|Suilu4|10006	1	0	1	2	2	1
jgi.p|Suilu4|100080	0	0	0	0	0	0
jgi.p|Suilu4|100092	0	0	0	0	0	0
jgi.p|Suilu4|100098	0	0	0	0	0	0
jgi.p|Suilu4|10017	3238	2777	4753	1423	1266	1748
jgi.p|Suilu4|100207	0	0	0	0	0	0
jgi.p|Suilu4|100215	0	0	0	0	0	0
jgi.p|Suilu4|100219	0	0	0	0	0	0
jgi.p|Suilu4|100256	0	0	0	0	0	0
jgi.p|Suilu4|100311	0	0	0	0	0	0
jgi.p|Suilu4|100326	0	0	0	0	0	0
jgi.p|Suilu4|100355	2	0	1	0	0	0
jgi.p|Suilu4|100445	0	0	0	0	0	0
jgi.p|Suilu4|100465	0	0	0	0	0	0
jgi.p|Suilu4|100491	25	45	65	24	9	9
jgi.p|Suilu4|100526	923	754	727	861	523	949
jgi.p|Suilu4|100527	0	0	0	0	0	0
jgi.p|Suilu4|100549	0	0	0	0	0	0
jgi.p|Suilu4|100590	0	0	0	0	0	0
jgi.p|Suilu4|100593	0	2	0	0	0	0
jgi.p|Suilu4|100608	0	0	0	0	0	0
jgi.p|Suilu4|100628	0	0	0	0	0	0
jgi.p|Suilu4|100630	0	0	0	0	0	0
jgi.p|Suilu4|100692	0	0	0	0	0	0
jgi.p|Suilu4|100700	0	0	0	0	0	0
jgi.p|Suilu4|100723	0	0	0	0	0	0
jgi.p|Suilu4|100731	0	0	0	0	0	0
jgi.p|Suilu4|100753	0	0	0	0	0	0
jgi.p|Suilu4|100839	0	0	0	2	0	1
jgi.p|Suilu4|100867	0	0	0	0	0	0
jgi.p|Suilu4|100871	0	0	0	0	0	0
jgi.p|Suilu4|100924	0	0	0	0	0	0
jgi.p|Suilu4|100937	0	0	0	0	0	0
jgi.p|Suilu4|10094	1527	1190	1357	961	764	1026
jgi.p|Suilu4|101025	0	0	0	0	0	0
jgi.p|Suilu4|101036	513	467	475	358	252	328
jgi.p|Suilu4|101052	0	0	0	0	0	0
jgi.p|Suilu4|101126	0	0	0	0	0	0
jgi.p|Suilu4|101193	34	25	46	31	17	28
jgi.p|Suilu4|101201	24	15	29	21	15	31
jgi.p|Suilu4|1013261	518	449	454	712	507	829
jgi.p|Suilu4|101339	0	0	0	0	0	0
jgi.p|Suilu4|101424	0	0	0	0	0	0
jgi.p|Suilu4|1014298	759	517	845	598	449	608
jgi.p|Suilu4|101548	0	0	0	0	0	0
jgi.p|Suilu4|101628	0	0	0	0	0	0
jgi.p|Suilu4|101643	0	0	0	0	0	0
jgi.p|Suilu4|101649	0	0	0	0	0	0
jgi.p|Suilu4|101659	0	0	0	0	0	0
jgi.p|Suilu4|101701	0	0	0	0	0	0
jgi.p|Suilu4|101793	0	0	0	0	0	0
jgi.p|Suilu4|101794	0	0	0	0	0	0
jgi.p|Suilu4|101886	0	0	0	0	0	0
jgi.p|Suilu4|101949	0	0	0	0	0	0
jgi.p|Suilu4|102007	0	0	0	0	0	0
jgi.p|Suilu4|102008	0	0	0	0	0	0
jgi.p|Suilu4|102029	0	0	0	0	0	0
jgi.p|Suilu4|102032	0	0	0	0	0	0
jgi.p|Suilu4|102126	14	6	15	10	12	26
jgi.p|Suilu4|102163	0	0	0	0	0	0
jgi.p|Suilu4|102187	0	0	0	0	0	0
jgi.p|Suilu4|102203	0	0	0	0	0	0
jgi.p|Suilu4|102208	0	0	0	0	0	0
jgi.p|Suilu4|102214	0	0	0	0	0	0
jgi.p|Suilu4|102246	1	0	2	0	0	1
jgi.p|Suilu4|102253	1	0	0	0	0	1
jgi.p|Suilu4|102284	0	0	0	0	0	0
jgi.p|Suilu4|102290	0	0	0	0	0	0
jgi.p|Suilu4|102301	0	0	0	0	0	0
jgi.p|Suilu4|102302	0	0	0	0	0	0
jgi.p|Suilu4|102312	0	0	0	0	0	0
jgi.p|Suilu4|102325	0	0	0	0	0	0
jgi.p|Suilu4|102361	0	0	0	0	0	0
jgi.p|Suilu4|102366	0	0	0	0	0	0
jgi.p|Suilu4|102388	103	71	101	117	97	100
jgi.p|Suilu4|102475	0	0	0	0	0	0
jgi.p|Suilu4|102502	0	0	0	0	0	0
jgi.p|Suilu4|10256	1046	925	1399	1095	865	1249
jgi.p|Suilu4|102646	0	0	0	0	0	0
jgi.p|Suilu4|102671	0	0	0	0	0	0
jgi.p|Suilu4|102711	0	0	0	0	0	0
jgi.p|Suilu4|102719	0	0	0	0	0	0
jgi.p|Suilu4|1027956	191	171	169	297	204	351
jgi.p|Suilu4|102810	9	6	7	8	8	8
jgi.p|Suilu4|102842	0	0	0	0	0	0
jgi.p|Suilu4|102844	0	0	0	0	0	0
jgi.p|Suilu4|102856	0	0	0	0	0	0
jgi.p|Suilu4|102857	0	0	0	0	0	0
jgi.p|Suilu4|102900	0	0	0	0	0	0
jgi.p|Suilu4|102909	0	0	0	0	0	0
jgi.p|Suilu4|10291	2988	2790	3156	3332	2468	3661
jgi.p|Suilu4|102955	0	0	0	0	0	0
jgi.p|Suilu4|102961	52	38	54	101	87	139
jgi.p|Suilu4|103044	0	0	0	0	0	0
jgi.p|Suilu4|103067	0	0	0	0	0	0
jgi.p|Suilu4|103091	0	0	0	0	0	0
jgi.p|Suilu4|103203	98	71	79	92	73	139
jgi.p|Suilu4|103567	189	221	167	357	244	417
jgi.p|Suilu4|1037566	14	5	7	2	8	12
jgi.p|Suilu4|1037686	54	53	53	65	36	72
jgi.p|Suilu4|103942	82	70	92	63	45	74
jgi.p|Suilu4|103945	216	157	142	73	75	92
jgi.p|Suilu4|1040254	772	971	1147	737	505	677
jgi.p|Suilu4|104073	23	20	14	22	15	21
jgi.p|Suilu4|1042247	7	9	11	6	7	9
jgi.p|Suilu4|1042476	25	22	30	20	19	28
jgi.p|Suilu4|1042538	18	25	22	18	4	14
jgi.p|Suilu4|1045175	19	32	69	67	73	57
jgi.p|Suilu4|10464	0	0	0	0	0	0
jgi.p|Suilu4|10465	0	0	0	0	0	0
jgi.p|Suilu4|10467	2348	2504	2726	2494	1819	2814
jgi.p|Suilu4|10512	59	33	33	49	39	52
jgi.p|Suilu4|10513	306	265	287	342	307	440
jgi.p|Suilu4|105173	1	0	0	0	0	0
jgi.p|Suilu4|1052116	24	23	46	28	34	46
jgi.p|Suilu4|105246	322	292	333	405	307	498
jgi.p|Suilu4|10527	86	79	98	85	75	114
jgi.p|Suilu4|1053200	43	72	54	45	24	16
jgi.p|Suilu4|1053227	88	96	67	23	23	34
jgi.p|Suilu4|105613	0	0	0	0	0	0
jgi.p|Suilu4|105623	0	0	0	0	0	0
jgi.p|Suilu4|105684	0	0	0	0	0	0
jgi.p|Suilu4|1057307	4467	3657	4266	1133	954	1577
jgi.p|Suilu4|10576	49	72	67	50	22	44
jgi.p|Suilu4|105799	435	426	387	637	530	801
jgi.p|Suilu4|105932	455	513	584	443	347	618
jgi.p|Suilu4|106127	39	16	18	41	33	51
jgi.p|Suilu4|1062004	0	0	0	0	0	0
jgi.p|Suilu4|106246	0	0	0	0	0	0
jgi.p|Suilu4|106313	0	0	0	0	0	0
jgi.p|Suilu4|1063432	201	172	277	182	111	253
jgi.p|Suilu4|10638	0	0	0	0	0	0
jgi.p|Suilu4|10639	0	0	0	0	0	0
jgi.p|Suilu4|106419	154	175	209	144	82	178
jgi.p|Suilu4|10642	0	0	0	0	0	0
jgi.p|Suilu4|106420	48	53	57	74	56	82
jgi.p|Suilu4|106445	2520	2003	2265	969	708	805
jgi.p|Suilu4|106512	274	234	239	244	226	363
jgi.p|Suilu4|106594	4	7	14	8	3	5
jgi.p|Suilu4|1066669	391	331	388	418	315	500
jgi.p|Suilu4|10667	1189	954	1319	1007	717	1137
jgi.p|Suilu4|106848	0	0	0	0	0	0
jgi.p|Suilu4|107023	631	511	467	625	459	620
jgi.p|Suilu4|107028	109	85	107	109	82	154
jgi.p|Suilu4|1070409	0	0	0	0	0	0
jgi.p|Suilu4|10711	1303	1180	1237	1415	1075	1568
jgi.p|Suilu4|10712	230	214	242	235	160	205
jgi.p|Suilu4|1073756	3136	2840	4496	1734	1380	2173
jgi.p|Suilu4|1074661	330	254	439	333	265	458
jgi.p|Suilu4|1074667	29	16	13	32	13	14
jgi.p|Suilu4|1075213	0	0	0	0	0	0
jgi.p|Suilu4|10757	370	323	277	424	296	459
jgi.p|Suilu4|107603	0	0	0	0	0	0
jgi.p|Suilu4|107633	0	1	2	2	0	2
jgi.p|Suilu4|107703	322	442	731	300	179	148
jgi.p|Suilu4|107719	0	0	0	0	0	0
jgi.p|Suilu4|107730	350	277	350	355	233	423
jgi.p|Suilu4|1077578	43	33	62	97	44	79
jgi.p|Suilu4|107813	0	0	0	0	0	0
jgi.p|Suilu4|107840	0	0	0	0	0	0
jgi.p|Suilu4|107841	0	0	0	0	0	0
jgi.p|Suilu4|107948	0	0	0	0	0	0
jgi.p|Suilu4|107949	0	0	0	0	0	0
jgi.p|Suilu4|107951	0	0	0	0	0	0
jgi.p|Suilu4|108059	82	43	31	41	31	35
jgi.p|Suilu4|10847	364	392	403	424	314	535
jgi.p|Suilu4|108488	0	0	0	0	0	0
jgi.p|Suilu4|108502	0	0	0	0	0	0
jgi.p|Suilu4|10854	809	700	1016	1032	790	1179
jgi.p|Suilu4|108553	69	61	59	45	31	37
jgi.p|Suilu4|108622	0	0	0	0	0	0
jgi.p|Suilu4|10863	66	54	42	116	79	112
jgi.p|Suilu4|108648	189	166	177	294	249	437
jgi.p|Suilu4|108662	0	0	0	0	0	0
jgi.p|Suilu4|108667	0	0	0	0	0	0
jgi.p|Suilu4|108689	19	24	6	20	16	30
jgi.p|Suilu4|1087133	28	19	28	23	16	36
jgi.p|Suilu4|10873	309	242	300	364	313	472
jgi.p|Suilu4|1087995	239	304	696	245	172	281
jgi.p|Suilu4|1088222	15	6	10	8	7	11
jgi.p|Suilu4|1088397	7	10	11	13	12	15
jgi.p|Suilu4|108927	0	0	0	0	0	0
jgi.p|Suilu4|108995	0	0	0	0	0	0
jgi.p|Suilu4|108996	0	0	0	0	0	0
jgi.p|Suilu4|108997	0	0	0	0	0	0
jgi.p|Suilu4|109000	0	0	0	0	0	0
jgi.p|Suilu4|109084	0	0	0	0	0	0
jgi.p|Suilu4|109090	0	0	0	0	0	0
jgi.p|Suilu4|1090955	18	15	12	11	20	30
jgi.p|Suilu4|1091014	0	0	0	0	0	0
jgi.p|Suilu4|109170	0	0	0	0	0	0
jgi.p|Suilu4|109171	0	0	0	0	0	0
jgi.p|Suilu4|109194	5	1	3	3	6	5
jgi.p|Suilu4|109226	0	0	0	0	0	0
jgi.p|Suilu4|1092383	10	15	12	30	11	24
jgi.p|Suilu4|109249	37	16	26	16	5	4
jgi.p|Suilu4|109297	0	0	0	0	0	0
jgi.p|Suilu4|109299	0	0	0	0	0	0
jgi.p|Suilu4|109328	0	0	0	0	0	0
jgi.p|Suilu4|1093361	248	179	224	237	149	272
jgi.p|Suilu4|109403	0	0	0	0	0	0
jgi.p|Suilu4|109435	0	0	0	0	0	0
jgi.p|Suilu4|109460	0	2	3	0	0	0
jgi.p|Suilu4|109475	0	0	0	0	0	0
jgi.p|Suilu4|109516	0	0	0	0	0	0
jgi.p|Suilu4|109581	0	0	0	0	0	0
jgi.p|Suilu4|1097602	2669	2275	2325	3116	2364	3339
jgi.p|Suilu4|10982	247	168	192	195	121	220
jgi.p|Suilu4|109859	0	0	0	0	0	0
jgi.p|Suilu4|110014	0	0	0	0	0	0
jgi.p|Suilu4|110062	9	11	12	15	7	7
jgi.p|Suilu4|11009	205	230	211	302	218	356
jgi.p|Suilu4|110122	0	0	0	0	0	0
jgi.p|Suilu4|11019	21	27	27	6	15	33
jgi.p|Suilu4|110195	0	0	0	0	0	0
jgi.p|Suilu4|110198	0	0	0	0	0	0
jgi.p|Suilu4|110289	0	0	0	0	0	0
jgi.p|Suilu4|110405	64	64	63	50	25	22
jgi.p|Suilu4|110412	0	0	0	0	0	0
jgi.p|Suilu4|110421	0	0	0	0	0	0
jgi.p|Suilu4|110422	0	0	0	0	0	0
jgi.p|Suilu4|1104796	26	21	25	15	4	25
jgi.p|Suilu4|110494	0	0	0	0	0	0
jgi.p|Suilu4|1105188	0	0	0	0	0	0
jgi.p|Suilu4|1105231	43	41	32	54	39	65
jgi.p|Suilu4|110535	0	0	0	0	0	0
jgi.p|Suilu4|110568	0	0	0	0	0	0
jgi.p|Suilu4|110580	0	0	0	1	0	0
jgi.p|Suilu4|110587	0	0	0	0	0	0
jgi.p|Suilu4|110608	0	0	0	0	0	0
jgi.p|Suilu4|110630	0	0	0	0	0	0
jgi.p|Suilu4|110674	0	0	0	0	0	0
jgi.p|Suilu4|110686	0	0	0	0	0	0
jgi.p|Suilu4|110703	0	0	0	0	0	0
jgi.p|Suilu4|110742	0	0	0	0	0	0
jgi.p|Suilu4|110787	0	0	0	0	0	0
jgi.p|Suilu4|110824	66	67	56	44	37	53
jgi.p|Suilu4|110832	0	0	0	0	0	0
jgi.p|Suilu4|110867	0	0	0	0	0	0
jgi.p|Suilu4|110922	0	0	0	0	0	0
jgi.p|Suilu4|110960	0	0	0	0	0	0
jgi.p|Suilu4|110967	0	0	0	0	0	0
jgi.p|Suilu4|110971	0	0	0	0	0	0
jgi.p|Suilu4|110988	0	0	0	0	0	0
jgi.p|Suilu4|111007	0	0	0	0	0	0
jgi.p|Suilu4|111014	5	9	14	7	1	0
jgi.p|Suilu4|111021	0	0	0	0	0	0
jgi.p|Suilu4|111077	0	0	0	0	0	0
jgi.p|Suilu4|111080	0	0	0	0	0	0
jgi.p|Suilu4|111126	0	0	0	0	0	0
jgi.p|Suilu4|111127	0	0	0	0	0	0
jgi.p|Suilu4|111130	0	0	0	0	0	0
jgi.p|Suilu4|111179	0	1	0	0	0	0
jgi.p|Suilu4|111243	0	0	0	0	0	0
jgi.p|Suilu4|111257	0	0	0	0	0	0
jgi.p|Suilu4|11126	607	436	528	843	818	1483
jgi.p|Suilu4|111261	0	0	0	0	0	0
jgi.p|Suilu4|111295	0	0	0	0	0	0
jgi.p|Suilu4|111297	0	0	0	0	0	0
jgi.p|Suilu4|111310	0	0	0	0	0	0
jgi.p|Suilu4|111319	0	0	0	0	0	0
jgi.p|Suilu4|111353	0	0	0	0	0	0
jgi.p|Suilu4|111373	0	0	0	0	0	0
jgi.p|Suilu4|111376	0	0	0	0	0	0
jgi.p|Suilu4|1114217	161	179	159	225	203	277
jgi.p|Suilu4|1115341	372	384	552	540	370	631
jgi.p|Suilu4|1118089	737	665	893	621	488	705
jgi.p|Suilu4|1118613	314	354	365	847	611	992
jgi.p|Suilu4|1118978	119	101	98	119	109	200
jgi.p|Suilu4|11208	495	454	490	551	380	644
jgi.p|Suilu4|1121099	359	270	307	326	245	338
jgi.p|Suilu4|11216	37	40	28	21	17	28
jgi.p|Suilu4|1124686	4120	3455	4177	3513	2893	5155
jgi.p|Suilu4|11270	2782	2612	2725	3158	2289	3471
jgi.p|Suilu4|11271	30	13	24	45	26	39
jgi.p|Suilu4|1129027	43	37	44	37	35	58
jgi.p|Suilu4|112905	117	103	119	89	66	115
jgi.p|Suilu4|1129166	22	27	55	8	6	18
jgi.p|Suilu4|11296	35	44	42	41	26	50
jgi.p|Suilu4|1129647	42	41	70	48	43	105
jgi.p|Suilu4|11318	273	190	218	273	200	405
jgi.p|Suilu4|113352	1115	954	1069	1211	986	1678
jgi.p|Suilu4|113878	3513	3412	3670	3587	2795	4220
jgi.p|Suilu4|1139275	25	26	22	32	30	42
jgi.p|Suilu4|11399	81	81	93	119	92	131
jgi.p|Suilu4|1141765	322	263	307	306	254	366
jgi.p|Suilu4|1143200	4	5	1	2	0	1
jgi.p|Suilu4|1146566	65	31	71	49	31	57
jgi.p|Suilu4|1147445	662	641	1102	467	290	322
jgi.p|Suilu4|1155378	269	227	404	237	188	287
jgi.p|Suilu4|115564	111	128	100	159	119	176
jgi.p|Suilu4|11561	251	228	307	233	120	152
jgi.p|Suilu4|11564	1482	1267	1465	1764	1204	1771
jgi.p|Suilu4|1157397	26	9	29	28	23	34
jgi.p|Suilu4|1158720	103	57	107	94	66	114
jgi.p|Suilu4|1159727	22	31	14	31	15	30
jgi.p|Suilu4|1160140	44	71	55	44	19	44
jgi.p|Suilu4|1161593	1463	1207	1498	1468	1146	1820
jgi.p|Suilu4|1162565	558	462	575	505	372	577
jgi.p|Suilu4|11647	2723	2686	2921	2522	1952	2977
jgi.p|Suilu4|1168608	222	497	395	39	34	104
jgi.p|Suilu4|11687	761	634	677	777	579	847
jgi.p|Suilu4|1171482	141	104	136	164	125	197
jgi.p|Suilu4|1171816	86	50	90	113	68	139
jgi.p|Suilu4|1171878	0	7	1	0	1	0
jgi.p|Suilu4|1173049	628	507	550	719	483	689
jgi.p|Suilu4|1173488	62	51	58	54	42	70
jgi.p|Suilu4|1175092	0	0	0	0	0	0
jgi.p|Suilu4|117555	586	460	616	704	557	928
jgi.p|Suilu4|1178221	4	1	9	0	0	0
jgi.p|Suilu4|1179961	2562	2765	2315	3798	2674	4094
jgi.p|Suilu4|11802	713	707	772	968	759	1169
jgi.p|Suilu4|1180907	59	58	69	102	60	107
jgi.p|Suilu4|11810	1	5	2	3	2	4
jgi.p|Suilu4|1181659	156	182	208	183	170	286
jgi.p|Suilu4|1181884	84	62	37	95	54	124
jgi.p|Suilu4|1182008	71	65	113	91	74	133
jgi.p|Suilu4|1182211	6	12	12	11	3	15
jgi.p|Suilu4|11827	625	609	762	850	675	1250
jgi.p|Suilu4|11835	0	0	0	0	0	0
jgi.p|Suilu4|1183814	84	96	130	64	36	21
jgi.p|Suilu4|11847	851	742	811	940	603	886
jgi.p|Suilu4|11851	1952	1989	2748	1563	1065	1652
jgi.p|Suilu4|11853	7558	10110	44559	4343	1950	4070
jgi.p|Suilu4|11869	411	299	401	608	431	896
jgi.p|Suilu4|11870	1108	908	1194	1481	1085	1602
