#proteinId	gotermId	goName	gotermType	goAcc
7630	2290	catalytic activity	molecular_function	GO:0003824
7630	17966	arginine biosynthetic process via ornithine	biological_process	GO:0042450
7630	2498	argininosuccinate lyase activity	molecular_function	GO:0004056
7801	6212	protein transporter activity	molecular_function	GO:0008565
7801	4994	intracellular protein transport	biological_process	GO:0006886
7801	3930	cytoplasm	cellular_component	GO:0005737
7801	3846	nuclear pore	cellular_component	GO:0005643
7801	3838	nucleus	cellular_component	GO:0005634
7801	70	protein import into nucleus, docking	biological_process	GO:0000059
7801	3708	binding	molecular_function	GO:0005488
7848	12147	protein domain specific binding	molecular_function	GO:0019904
8138	12251	heme binding	molecular_function	GO:0020037
8138	4283	electron transport	biological_process	GO:0006118
8138	3721	iron ion binding	molecular_function	GO:0005506
8138	2888	monooxygenase activity	molecular_function	GO:0004497
8138	23642	unspecific monooxygenase activity	molecular_function	GO:0050381
8222	3737	GTP binding	molecular_function	GO:0005525
8222	2378	GTPase activity	molecular_function	GO:0003924
8222	24058	hydrolase activity, acting on acid anhydrides, acting on GTP, involved in cellular and subcellular movement	molecular_function	GO:0050800
8357	4143	carbohydrate metabolic process	biological_process	GO:0005975
8357	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
8735	5906	cysteine-type peptidase activity	molecular_function	GO:0008234
8735	4639	proteolysis	biological_process	GO:0006508
8927	6253	pyridoxine biosynthetic process	biological_process	GO:0008615
8927	3099	pyridoxamine-phosphate oxidase activity	molecular_function	GO:0004733
8927	7744	FMN binding	molecular_function	GO:0010181
9046	23919	FAD binding	molecular_function	GO:0050660
9046	2290	catalytic activity	molecular_function	GO:0003824
9046	9710	oxidoreductase activity	molecular_function	GO:0016491
9046	2852	D-lactate dehydrogenase (cytochrome) activity	molecular_function	GO:0004458
9129	19030	sequence-specific DNA binding	molecular_function	GO:0043565
9129	3827	intracellular	cellular_component	GO:0005622
9129	2176	DNA binding	molecular_function	GO:0003677
9162	9320	membrane	cellular_component	GO:0016020
9162	4937	chloride transport	biological_process	GO:0006821
9162	3572	voltage-gated chloride channel activity	molecular_function	GO:0005247
9162	3547	ion channel activity	molecular_function	GO:0005216
9182	13135	carbohydrate binding	molecular_function	GO:0030246
9182	4143	carbohydrate metabolic process	biological_process	GO:0005975
9182	3782	extracellular region	cellular_component	GO:0005576
9182	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
9244	5113	microtubule-based movement	biological_process	GO:0007018
9244	4051	microtubule associated complex	cellular_component	GO:0005875
9244	3736	ATP binding	molecular_function	GO:0005524
9244	2244	microtubule motor activity	molecular_function	GO:0003777
9410	5250	signal transduction	biological_process	GO:0007165
9410	3827	intracellular	cellular_component	GO:0005622
9440	9320	membrane	cellular_component	GO:0016020
9440	6276	carbohydrate transport	biological_process	GO:0008643
9440	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
9440	9321	integral to membrane	cellular_component	GO:0016021
9440	4927	transport	biological_process	GO:0006810
9440	3546	transporter activity	molecular_function	GO:0005215
9493	9320	membrane	cellular_component	GO:0016020
9493	6276	carbohydrate transport	biological_process	GO:0008643
9493	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
9493	9321	integral to membrane	cellular_component	GO:0016021
9493	4927	transport	biological_process	GO:0006810
9493	3546	transporter activity	molecular_function	GO:0005215
9554	8790	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	molecular_function	GO:0015450
9554	4994	intracellular protein transport	biological_process	GO:0006886
9554	3933	mitochondrial outer membrane	cellular_component	GO:0005741
9721	6425	carboxymethylenebutenolidase activity	molecular_function	GO:0008806
9934	9710	oxidoreductase activity	molecular_function	GO:0016491
9934	5830	metabolic process	biological_process	GO:0008152
9934	20156	ketoreductase activity	molecular_function	GO:0045703
9934	17983	versicolorin reductase activity	molecular_function	GO:0042469
9934	10760	myrtenol dehydrogenase activity	molecular_function	GO:0018450
9934	10759	1-phenylethanol dehydrogenase activity	molecular_function	GO:0018449
9934	10758	hydroxymethylmethylsilanediol oxidase activity	molecular_function	GO:0018448
9934	10757	chloral hydrate dehydrogenase activity	molecular_function	GO:0018447
9934	10756	pinocarveol dehydrogenase activity	molecular_function	GO:0018446
9934	2750	glucose dehydrogenase activity	molecular_function	GO:0004344
